Topic,Documents
0,"As enacted, creates an offense for a person who engages in an adult cabaret performance on public property or in a location where the adult cabaret performance could be viewed by a person who is not an adult. - Amends TCA Title 7, Chapter 51, Part 14."
-1,"As introduced, requires a person to obtain a valid entertainer permit from the adult-oriented establishment board, in those jurisdictions with a board, prior to performing adult cabaret entertainment for compensation; prohibits public, private, and commercial establishments from allowing persons under the age of 18 to attend a performance featuring adult cabaret entertainment. - Amends TCA Title 7, Chapter 51."
-1,Adult cabaret performances; prohibited locations
0,Create new sections of KRS Chapter 231 to express the findings of the General Assembly relating to adult-oriented businesses and the need for regulation; define terms; establish distance parameters for the location of adult-oriented businesses in proximity to identified entities and locations; establish transition provisions for existing businesses; affirm the authority of local governmental units to supplement regulation of adult-oriented businesses.
0,Relating to prohibiting certain adult cabaret performances; creating a criminal offense.
1,Relating to a cause of action for drag performances performed in the presence of a minor.
-1,Relating to prohibiting certain erotic performances; creating a criminal offense; authorizing a civil penalty.
1,State monies; drag shows; minors
-1,Relating to a prohibition on the presence of minors at certain performances facilitated by certain alcoholic beverage permit and license holders.
-1,"Amend The South Carolina Code Of Laws By Adding Section 16-15-450 So As To Prohibit Adult Cabaret Performances On Public Property And In Places Where Such A Performance Can Be Viewed By Minors, And To Define Necessary Terms."
0,Establishes the offense of engaging in an adult cabaret performance or organizing or authorizing the viewing of an adult cabaret performance and the offense of organizing or authorizing the viewing of a drag queen story hour
0,Creates the offense of engaging in an adult cabaret performance
1,Prohibit minors from attending drag shows
1,"A bill for an act relating to minors present at drag shows, and providing penalties."
-1,"Drag performances classified as adult entertainment, and location restrictions of an adult entertainment establishment expanded."
1,Prohibiting the expenditure of state moneys for the production or performance of drag shows for which minors are the primary audience.
0,Enacting the community defense and human trafficking reduction act to regulate sexually oriented businesses and human trafficking and to impose criminal penalties.
0,Crimes and punishments; adult cabaret and drag performance; making certain acts unlawful; codification; emergency.
0,Crimes and punishments; adding definition; effective date.
-1,Expanding the crime of promoting obscenity to minors to include drag performances.
1,The purpose of this bill is to prohibit drag shows from being performed in front of minors and to prohibit drags shows in schools and libraries.
1,Drag performances as adult entertainment classification; location restrictions on adult entertainment establishment
-1,"A BILL for an Act to create and enact a new section to chapter 12.1-27.1 of the North Dakota Century Code, relating to restrictions on adult-oriented performances; to amend and reenact section 12.1-27.1-12 of the North Dakota Century Code, relating to state pre-emption of local laws regulating obscenity; and to provide a penalty."
-1,"The purpose of this bill is to create the Sexually Oriented Businesses Regulation Act. The bill prohibits adult video stores and adult arcades. The bill provides for legislative findings. The bill provides for definitions. The bill prohibits adult video stores and adult arcades from physical operation within the state. The bill provides for preemption. Finally, the bill provides for violations."
0,"Regulation of sexually oriented businesses. Provides that a sexually oriented business may not operate within 1,000 feet of specified facilities that cater to minors. Exempts pre-existing businesses that have been in continuous operation. Establishes a civil enforcement mechanism. Repeals the existing law concerning sexually explicit materials. Makes conforming amendments."
-1,Relating to the definition of sexually oriented business.
-1,The purpose of this bill is to make it a criminal offense for a person to engage in an adult cabaret performance where it may be viewed by a minor
-1,"Amend The South Carolina Code Of Laws By Enacting The ""defense Of Children's Innocence Act"" By Adding Section 6-1-200 So As To Provide That Any Business Where Drag Shows Are Held Is Deemed To Be A Sexually Oriented Business For All Local Ordinances Relating To A Sexually Oriented Business; By Adding Section 6-1-210 So As To Prohibit A State Agency, Political Subdivision, And Any Entity That Is Supported In Whole Or In Part By Public Funds From Using Any Public Funds To Host Or Provide A Drag Show; And By Amending Section 16-15-385, Relating To Disseminating Harmful Materials To Minors, So As To Include The Offense Of Allowing A Minor To View A Drag Show."
1,"The purpose of this bill is to provide definitions, to prohibit public funding of drag shows in West Virginia, and to prohibit minors from being involved in or attending drag shows."
-1,Modifies provisions relating to sexually oriented businesses
-1,Includes businesses that host drag performances in the definition of a sexually oriented business
