Topic,Documents
1,Referred to committee 3/10/20
1,Introduced 2/27/20
1,Postponed Indefinitely 2/13/20
1,Dead/Failed in committee 3/14/20
1,"Introduced; Referred to Committee 2/7/20, 2/11/20"
1,Referred to Committee 2/11/20
1,Referred to Committee 1/28/20
1,Public Hearing Completed 3/2/20
1,Dead/Failed in Committee 3/3/20
1,Referred to Committee 2/10/20
1,Introduced 1/14/20
1,Passed by House 1/29/20; Deferred to 41st legislative day 2/10/20
1,Dead/Failed 2/4/20
1,Hearing scheduled 3/17/20
1,Filed for bills not passed 3/12/20
15, Inexpedient to Legislate (H)
1, Laid on table; no pending motion (S)
1, Removed from table (H)
1, Judiciary Replaces EDC Referral
1, Re-referred to Rules Committee
1,Dead/Failed
-1,To Create The Vulnerable Child Protection Act; And To Prohibit Gender Reassignment Services For Minors.
-1,Relating to protection of persons from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.
13,Relating to the definition of abuse of a child.
12,Relating to protection of individuals from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.
4,"As enacted, specifies that standard medical practice does not involve prescribing hormone treatment for gender dysphoric or gender incongruent prepubertal minors; prohibits a healthcare prescriber from prescribing a course of treatment that involves hormone treatment for gender dysphoric or gender incongruent prepubertal minors, except that a healthcare prescriber may prescribe a course of treatment that involves hormone treatments for prepubertal minors for diagnoses of growth deficiencies or other diagnoses unrelated to gender dysphoria or gender incongruency."
19,- Amends TCA Title 8; Title 53; Title 56; Title 63; Title 68 and Title 71.
12,Implement medical ethics and diversity act
8,To Create The Arkansas Save Adolescents From Experimentation (safe) Act.
2,Provides relative to gender therapy and minors.
1,(8/1/21)
13,"Relating to the protection of children, including the definition of child abuse and the prosecution of the criminal offense of abandoning or endangering a child."
4,"As introduced, prohibits the provision of sexual identity change therapy to prepubescent minors; prohibits the provision of sexual identity change therapy to minors who have entered puberty unless a parent or guardian has written recommendations for the therapy from at least three physicians; punishes violations as child abuse; designates violations by healthcare professionals as professional misconduct."
19,- Amends TCA Title 8; Title 36; Title 37; Title 39; Title 49; Title 53; Title 56; Title 63; Title 68 and Title 71.
13,"Amend KRS 600.020 to add exclusions relating to a parent's or guardian's actions from the definition of """"abused or neglected child."""""
2,A bill for an act relating to the statute of limitations for recovery from injuries sustained from treatment for identity disorder.
14,"A bill for an act relating to treatment or intervention involving a minor diagnosed with gender dysphoria, and providing for licensee discipline and civil penalties."
-1,Crime and punishment; providing definition; providing certain penalty.
1,Effective date.
3,Health services for minors; prohibiting certain medical treatment for minors; providing penalty.
21,Modifies provisions relating to gender reassignment treatment for children
14,"A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties."
12,Create new sections of KRS Chapter 344 to define terms; prohibit discrimination against medical care providers who decline to perform procedures that violate their conscience; grant providers the right not to participate in or pay for services that violate their conscience; exempt providers from liability for exercising these rights; establish a civil cause of action for persons injured by violations of these provisions.
4,Prohibits medical providers from administering any medical or surgical treatment for the purpose of gender reassignment for anyone under the age of eighteen
13,Relative to the definition of child abuse.
-1,Crimes: penalties; penalties for parents or guardians who procure gender transition surgeries or irreversible hormonal procedures for children under 18; provide for.
19,Amends sec.
1,136b of 1931 PA 328 (MCL 750.136b).
-1,"Establishes """"Child Protection and Anti-Mutilation Act."""""
9,Places restrictions on the provision of gender affirming care.
-1,"Gender affirming care includes performing surgery, administering medication, or performing other procedures for the purpose of changing the body of an individual to correspond to a sex that differs from the individual's biological sex."
16,"Specifically, the bill makes it a felony to perform any gender affirming care on a minor and it permits a minor on whom such care is performed to bring a civil action against each individual who provided the care."
7,"Additionally, the bill prohibits the use of federal funds for gender affirming care or for health insurance that covers such care."
7,Such care may not be provided in a federal health care facility or by a federal employee.
7,The bill also prohibits qualified health plans from including coverage for gender affirming care.
7,"Further, plans that include coverage for such care are not eligible for federal subsidies."
7,"Finally, the bill prohibits institutions of higher education from offering instruction in gender affirming care."
16,It also makes any non-U.S. national (alien under federal law) who performs gender affirming care on a minor deportable and inadmissible to the United States.
9,"The restrictions under this bill do not apply to the provision of care under certain circumstances such as when an individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action."
4,"Makes a medical practitioner who performs a gender-transition procedure on an individual who is less than 18 years of age liable for any physical, psychological, emotional, or physiological harms from the procedure for 30 years after the individual turns 18."
-1,"Additionally, if a state requires medical practitioners to perform gender-transition procedures, that state shall be ineligible for federal funding from the Department of Health and Human Services."
-1,Gender-transition procedures generally include certain surgeries or hormone therapies that change the body of an individual to correspond to a sex that is discordant with the individual's biological sex.
9,"They exclude, however, interventions to treat (1) individuals who either have ambiguous external biological sex characteristics or lack a normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action; (2) infections, injuries, diseases, or disorders caused by a gender-transition procedure; or (3) a physical disorder, injury, or illness that places an individual in imminent danger of death or impairment of a major bodily function."
18,Requests a study of gender-altering procedures for minors and the risks associated with such procedures
17,Making it a crime for a physician to perform gender reassignment surgery or hormone replacement therapy on certain children.
17,Making it a crime for a doctor to perform gender reassignment surgery or hormone replacement therapy on minors.
-1,"Disallows a business expense tax deduction for any reimbursement paid by an employer to an employee for travel expenses to obtain an abortion, or for the costs of any gender transition procedure for the employee's minor child."
11,"Amend The South Carolina Code Of Laws Article 1, Chapter 47, Title 40 Of The S.c. Code, Relating To General Provisions Concerning Physicians By Adding Section 40-47-205 So As To Prohibit Physicians From Performing Gender Reassignment Surgery On Minors, And To Prohibit Physicians From Prescribing Or Administering Certain Substances For The Purpose Of Attempting To Alter The Appearance Of Or Affirm The Minor's Perception Of His Gender If That Appearance Or Perception Is Inconsistent With The Minor's Biological Sex."
25,"Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony"
18,Irreversible gender reassignment surgery; minors
