Topic,Count,Name,CustomName,Representation,KeyBERT,OpenAI,MMR,POS,Representative_Docs
-1,62,-1_child_gender_school_health,Outlier Topic,"['child', 'gender', 'school', 'health', 'transition', 'gender transition', 'minor', 'procedures', 'sex', '18 years']","['gender reassignment', 'gender transition', 'provision gender', 'coverage gender', 'prohibit health', 'transition services', 'minors', 'biological sex', 'gender', 'health care']",['Prohibiting Gender Transition Services for Minors'],"['child', 'gender', 'school', 'health', 'transition', 'gender transition', 'minor', 'procedures', 'sex', '18 years']","['child', 'gender', 'school', 'health', 'transition', 'minor', 'procedures', 'sex', 'parent', 'student']","['Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; EFFECTIVE January 1, 2023.', ""Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; prohibit a person or entity from aiding or abetting the performance or inducement of gender transition procedures to a child under the age of 18 years, but exempt speech protected by the First Amendment to the Constitution of the United States and exempt a parent of such child; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of Subtitle 17A of KRS Chapter 304 to prohibit health benefit plan coverage, including federal government health plans, for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; amend KRS 141.019 and 141.039 to prohibit tax exemption for gender transition procedures; establish a short title of Kentucky's Children Deserve Help Not Harm Act; EFFECTIVE January 1, 2024."", 'Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; amend KRS 141.019 and 141.039 to prohibit tax exemption for gender transition procedures; EFFECTIVE January 1, 2023.']"
0,23,0_certain_minor_care_certain medical,Prohibited Gender Identity Health Services for Minors,"['certain', 'minor', 'care', 'certain medical', 'medical', 'reinforce', 'conscience', 'affirm minor', 'authorizing', 'change']","['treatment minors', 'minors prohibits', 'care prohibiting', 'care minors', 'prohibiting certain', 'services minor', 'minors providing', 'procedures minor', 'prohibits specified', 'minor sexual']",['Prohibited Gender Identity Health Services for Minors'],"['certain', 'minor', 'care', 'certain medical', 'medical', 'reinforce', 'conscience', 'affirm minor', 'authorizing', 'change']","['certain', 'minor', 'care', 'medical', 'conscience', 'providers', 'minors', 'sexual', 'penalty', 'health']","[""Prohibited health care for minors. Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) prescribing, administering, or furnishing certain drugs to a minor; that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."", ""Prohibited services relating to care of minors. Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) subjecting a minor to certain activities; that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."", ""Prohibited services relating to care of minors. Prohibits specified health care professionals from: (1) performing, or causing to be performed, certain medical procedures on a minor; or (2) subjecting a minor to certain activities that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex.""]"
1,18,1_gender_hormone_individual_minors,Legislation on Minors' Gender Transition Procedures,"['gender', 'hormone', 'individual', 'minors', 'sex', 'prohibits', 'minor', 'procedures', 'reassignment', 'minors prohibits']","['gender reassignment', 'gender transition', 'gender minor', 'surgery minors', 'procedures minors', 'treatment gender', 'procedures minor', 'reassignment surgery', 'surgery minor', 'perform gender']","[""Legislation on Minors' Gender Transition Procedures""]","['gender', 'hormone', 'individual', 'minors', 'sex', 'prohibits', 'minor', 'procedures', 'reassignment', 'minors prohibits']","['gender', 'hormone', 'individual', 'minors', 'sex', 'minor', 'procedures', 'reassignment', 'transition', 'interventions']","['Gender transition procedures for minors. Prohibits a physician or other practitioner from knowingly providing gender transition procedures to an individual who is less than 18 years of age (minor) that are intended to alter the gender of the minor or delay puberty. Provides for certain medical exceptions. Establishes civil enforcement actions.', ""Establishes a new criminal offense for performing gender reassignment medical interventions on minors. It also provides that a minor who receives such an intervention may bring a civil action against each person who performed that intervention. The bill defines these interventions as certain surgeries or the use of hormones to change the body of an individual to correspond to a sex that is discordant with the individual's biological sex. It excludes, however, interventions in cases where an individual has ambiguous external biological sex characteristics or where a physician has determined that an individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action. An individual who performs these interventions on a minor is subject to criminal penalties—a fine, a prison term of up to five years, or both. A minor who receives these medical interventions may not be arrested or prosecuted for an offense under this bill."", ""Makes a medical practitioner who performs a gender-transition procedure on an individual who is less than 18 years of age liable for any physical, psychological, emotional, or physiological harms from the procedure for 30 years after the individual turns 18. Additionally, if a state requires medical practitioners to perform gender-transition procedures, that state shall be ineligible for federal funding from the Department of Health and Human Services. Gender-transition procedures generally include certain surgeries or hormone therapies that change the body of an individual to correspond to a sex that is discordant with the individual's biological sex. They exclude, however, interventions to treat (1) individuals who either have ambiguous external biological sex characteristics or lack a normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action; (2) infections, injuries, diseases, or disorders caused by a gender-transition procedure; or (3) a physical disorder, injury, or illness that places an individual in imminent danger of death or impairment of a major bodily function.""]"
2,16,2_procedures treatments_treatments_gender_relating,Legislation on Gender Transitioning Treatments for Minors,"['procedures treatments', 'treatments', 'gender', 'relating', 'transitioning', 'liability', 'transitioning gender', 'certain children', 'gender transitioning', 'statute']","['gender reassignment', 'transgender medical', 'gender transitioning', 'sex reassignment', 'gender transition', 'transitioning gender', 'gender dysphoria', 'prohibits discrimination', 'liability provision', 'therapy minors']",['Legislation on Gender Transitioning Treatments for Minors'],"['procedures treatments', 'treatments', 'gender', 'relating', 'transitioning', 'liability', 'transitioning gender', 'certain children', 'gender transitioning', 'statute']","['treatments', 'gender', 'transitioning', 'liability', 'certain children', 'statute', 'limitations', 'procedures', 'public', 'certain']","['Relating to prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria and on the use of public money or public assistance to provide those procedures and treatments.', 'Relating to professional liability insurance coverage for and prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria and to the abuse of a child.', 'Relating to professional liability insurance coverage for and prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria.']"
3,11,3_code_section_provide_act,Regulation of Gender Transition Procedures for Minors,"['code', 'section', 'provide', 'act', 'transition procedures', 'health', 'years age', 'care', 'procedures', 'gender']","['gender reassignment', 'gender transition', 'provision gender', 'reassignment surgery', 'act amend', 'coverage gender', 'prohibit physicians', 'save adolescents', 'provisions act', 'medicaid']",['Regulation of Gender Transition Procedures for Minors'],"['code', 'section', 'provide', 'act', 'transition procedures', 'health', 'years age', 'care', 'procedures', 'gender']","['health', 'care', 'procedures', 'gender', 'transition', 'age', 'years', 'coverage', 'plan', 'safe']","['An Act To Create The ""regulate Experimental Adolescent Procedures (reap)"" Act For Any Person Under Eighteen Years Of Age; To Provide Definitions For The Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Eighteen Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Health Coverage Plans Are Not Required To Include Gender Transition Procedures; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Exclude The Performance Gender Transition Procedures From The ""practice Of Medicine"" Meaning; To Amend Section 11-46-5, Mississippi Code Of 1972, To Exclude From Tort Immunity Violations Of This Act; To Amend Section 41-41-219, Mississippi Code Of 1972, To Conform To The Preceding Section; To Provide Severability If Any Part Of This Act Is Found Unconstitutional; And For Related Purposes.', 'An Act To Restrict Transgender Medical Procedures For Any Person Under Twenty-one Years Of Age; To Provide Definitions For The Act; To Prohibit The Administration Of Or The Assistance In The Administration Of Cross Sex Hormones Or Puberty Blocking Drugs; To Prohibit The Performance Of Gender Reassignment Surgery; To Prohibit Physicians And Other Health Care Professionals From Providing Gender Transition Procedures Or Gender Reassignment Surgery To Any Person Under Twenty-one Years Of Age; To Prohibit Physicians And Other Health Care Professionals From Referring Any Person Under A Certain Age To Any Health Care Professional For Gender Transition Or Gender Reassignment Procedures; To Prohibit Parents, Guardians Or Persons Responsible For The Care Of A Person Under A Certain Age From Consenting To Or Providing Puberty-blocking Drugs, Cross Sex Hormones; To Provide Certain Exceptions To Those Prohibitions; To Amend Section 97-5-39, Mississippi Code Of 1972, To Include Violations Of This Act In The Penalties For Child Abuse; To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Violation Of This Act; To Amend Section 97-5-51, Mississippi Code Of 1972, To Require Mandatory Reporting Of Persons Who Violate The Provisions Of This Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Twenty-one Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Provide That Any Referral For Or Provision Of Gender Transition Procedures To A Person Under Twenty-one Years Of Age By A Physician Or Other Health Care Professional Is Unprofessional Conduct And Is Subject To Discipline By The Appropriate Licensing Entity For The Health Care Professional; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Health Coverage Plans Are Not Required To Include Gender Transition Procedures; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 11-46-5, Mississippi Code Of 1972, To Exclude From Tort Immunity Violations Of This Act; To Amend Section 11-1-60, Mississippi Code Of 1972, To Exclude Violation Of This Act From Limits On Noneconomic Damages; And For Related Purposes.', 'An Act To Prohibit The Administration Of Or The Assistance In The Administration Of Cross Sex Hormones Or Puberty Blocking Drugs For Persons Under Twenty-one Years Of Age; To Prohibit The Performance Of Gender Reassignment Surgery; To Prohibit Physicians And Other Health Care Professionals From Providing Gender Transition Procedures Or Gender Reassignment Surgery To Any Person Under Twenty-one Years Of Age; To Prohibit Physicians And Other Health Care Professionals From Referring Any Person Under A Certain Age To Any Health Care Professional For Gender Transition Or Gender Reassignment Procedures; To Prohibit Parents, Guardians Or Persons Responsible For The Care Of A Person Under A Certain Age From Consenting To Or Providing Puberty-blocking Drugs, Cross Sex Hormones; To Provide For Certain Exceptions To Those Prohibitions; To Amend Section 97-5-39, Mississippi Code Of 1972, To Include Violations Of This Act In The Penalties For Child Abuse; To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Violation Of This Act; To Amend Section 97-5-51, Mississippi Code Of 1972, To Require Mandatory Reporting Of Persons Who Violate The Provisions Of This Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Twenty-one Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Provide That Any Referral For Or Provision Of Gender Transition Procedures To A Person Under Twenty-one Years Of Age By A Physician Or Other Health Care Professional Is Unprofessional Conduct And Is Subject To Discipline By The Appropriate Licensing Entity For The Health Care Professional; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Gender Transition Procedures For Persons Under Twenty-one Are Not Required In Health Coverage Plans; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; And For Related Purposes.']"
4,7,4_definition_abuse_definition child_child,Child Abuse Definitions and Criminal Prosecution,"['definition', 'abuse', 'definition child', 'child', 'child abuse', 'relating', 'abuse child', 'criminal offense', 'offense', 'criminal']","['child abuse', 'abuse child', 'neglected child', 'child relating', 'abused neglected', 'definition child', 'parent guardian', 'criminal offense', 'abuse', 'definition']",['Child Abuse Definitions and Criminal Prosecution'],"['definition', 'abuse', 'definition child', 'child', 'child abuse', 'relating', 'abuse child', 'criminal offense', 'offense', 'criminal']","['definition', 'abuse', 'child', 'criminal offense', 'offense', 'criminal', 'actions', 'guardian', 'protection', 'children']","['Relating to the protection of children, including the definition of child abuse and the prosecution of the criminal offense of abandoning or endangering a child.', 'Relating to the definition of child abuse.', 'Relating to the definition of child abuse and the prosecution of the criminal offense of abandoning or endangering a child.']"
5,7,5_protection_title_protection act_act,Youth and Vulnerable Child Health Protection Acts,"['protection', 'title', 'protection act', 'act', 'health protection', 'youth', 'youth health', 'title title', 'child protection', 'title 33']","['protection act', 'child protection', 'act introduced', 'youth health', 'health protection', 'vulnerable child', 'act provide', 'children', 'protection', 'protecting']",['Youth and Vulnerable Child Health Protection Acts'],"['protection', 'title', 'protection act', 'act', 'health protection', 'youth', 'youth health', 'title title', 'child protection', 'title 33']","['youth', 'health', '', '', '', '', '', '', '', '']","['Provide for a youth health protection act', 'Youth Health Protection Act', 'As introduced, enacts the “Youth Health Protection Act.” - Amends TCA Title 8; Title 9; Title 14; Title 33; Title 63 and Title 68.']"
6,7,6_adding_40_section_laws,Prohibitions on Minors' Gender Transition Procedures,"['adding', '40', 'section', 'laws', 'appearance', 'prohibit', 'gender', 'provide', 'physicians', 'minor']","['gender transition', 'minor gender', 'surgery minors', 'reassignment surgery', 'amend', 'delay puberty', 'affirm minor', 'performing gender', 'gender identity', 'prohibit physicians']","[""Prohibitions on Minors' Gender Transition Procedures""]","['adding', '40', 'section', 'laws', 'appearance', 'prohibit', 'gender', 'provide', 'physicians', 'minor']","['', '', '', '', '', '', '', '', '', '']","[""Amend The South Carolina Code Of Laws Article 1, Chapter 47, Title 40 Of The S.c. Code, Relating To General Provisions Concerning Physicians By Adding Section 40-47-205 So As To Prohibit Physicians From Performing Gender Reassignment Surgery On Minors, And To Prohibit Physicians From Prescribing Or Administering Certain Substances For The Purpose Of Attempting To Alter The Appearance Of Or Affirm The Minor's Perception Of His Gender If That Appearance Or Perception Is Inconsistent With The Minor's Biological Sex."", 'Amend The South Carolina Code Of Laws By Adding Section 40-47-300 So As To Provide Definitions; By Adding Section 40-47-310 So As To Provide That A Person Younger Than Twenty-one Years Of Age May Not Undergo Gender Transition Procedures; By Adding Section 40-47-320 So As To Provide That A Person Younger Than Twenty-one Years Of Age May Receive Appropriate Medical Services Otherwise Related To Gender Transition Procedures Under Limited Circumstances; By Adding Section 40-47-330 So As To Provide Prerequisites For A Person Older Than Twenty-one Years Of Age To Undergo Gender Transition Procedures; By Adding Section 40-47-340 So As To Provide That No Public Funds May Be Used To Pay For Gender Transition Procedures; And By Adding Section 59-32-35 So As To Provide That Gender Identity Disorders May Be Taught As Part Of A Comprehensive Health Education Program, To Provide That Students With Gender Identity Disorders Must Be Encouraged To Seek Mental Health Treatment For The Disorder And Must Not Be Encouraged To Seek Gender Transition Procedures, And To Provide That School Personnel Must Notify Parents When They Learn That A Student Suffers From A Gender Identity Disorder.', ""Amend The South Carolina Code Of Laws By Adding Section 40-47-300 So As To Define Gender, Sex, And Other Terms; By Adding Section 40-47-310 So As To Prohibit The Provision Of Gender Transition Procedures To A Person Under Eighteen Years Of Age; By Adding Section 40-47-320 So As To Provide Exceptions; By Adding Section 40-47-330 So As To Prohibit The Use Of Public Funds For Gender Transition Procedures; By Adding Section 40-47-340 So As To Provide Penalties; And By Adding Section 59-32-36 So As To Prohibit School Staff And Officials From Withholding Knowledge Of A Minor's Perception Of Their Gender From The Minor's Parents.""]"
7,6,7_adolescents_adolescents experimentation_experimentation safe_experimentation,Save Adolescents from Experimentation (SAFE) Act,"['adolescents', 'adolescents experimentation', 'experimentation safe', 'experimentation', 'safe act', 'safe', 'save adolescents', 'save', 'act', '02']","['save adolescents', 'adolescents experimentation', 'minors act', 'establishes missouri', 'safe act', 'provisions relating', 'experimentation safe', 'adolescents', 'modifies provisions', 'enact']",['Save Adolescents from Experimentation (SAFE) Act'],"['adolescents', 'adolescents experimentation', 'experimentation safe', 'experimentation', 'safe act', 'safe', 'save adolescents', 'save', 'act', '02']","['safe', 'act', 'sections', 'certain procedures', 'minor child', 'certain', 'transition', 'procedures', 'minors', 'gender']","[""To enact sections 3129.01, 3129.02, 3129.03, 3129.04, 3129.05, 3129.06, 3129.07, and 3129.08 of the Revised Code to prohibit certain procedures to alter a minor child's sex and to designate this act as the Save Adolescents from Experimentation (SAFE) Act."", 'To Create The Arkansas Save Adolescents From Experimentation (safe) Act.', 'Establishes the """"Missouri Save Adolescents from Experimentation (SAFE) Act""""']"
8,6,8_relating gender_gender transition_transition_medical,Legislation on Gender Transition Procedures,"['relating gender', 'gender transition', 'transition', 'medical', 'transition procedures', 'form', 'procedures', 'relating', 'gender', 'children']","['gender transition', 'act amend', 'provisions relating', 'relating gender', 'act 2023', 'gender', 'act relating', 'procedures', 'medical', 'transition procedures']",['Legislation on Gender Transition Procedures'],"['relating gender', 'gender transition', 'transition', 'medical', 'transition procedures', 'form', 'procedures', 'relating', 'gender', 'children']","['transition', 'medical', 'form', 'procedures', 'gender', 'children', 'act', 'provisions', 'effective date', 'date']","['A bill to protect children from medical malpractice in the form of gender transition procedures.', 'To protect children from medical malpractice in the form of gender transition procedures.', 'A bill for an act relating to gender-transition procedures, and including effective date provisions.']"
