Topic,Documents
1,Signed/Enacted by Speaker and President 3/18/20
1,Referred to Committee 1/9/20
0,Birth certificates; amendments; sex designation
0,Revise vital statistics laws regarding sex designation on birth certificate
0,Birth certificates; gender
0,Vital records; limiting biological sex designation on certificate of birth to male or female; prohibiting nonbinary designation.
1,Emergency.
0,An Act To Prohibit Physically Incarcerated Offenders From Requesting A Name Change Or Gender Transition; And For Related Purposes.
0,Modifies provisions relating to certificates of birth
0,An Act To Enact The Real You Act Of 2022; To Define Terms; To Prohibit Physically Incarcerated Offenders From Requesting A Name Change; To Prohibit Minors From Requesting Legal Recognition Of A Gender Transition; To Provide Certain Exceptions; And For Related Purposes.
0,State documents; sex identification
0,Prohibits changing sex on birth certificates
0,Relative to state recognition of biological sex.
0,"As introduced, specifies, for the offense of observation without consent, that a person has a reasonable expectation of privacy from members of the opposite sex in a single-sex multi-person use bathroom, locker room, dressing room or shower; defines a person's sex as the sex listed on the person's birth certificate and makes other related changes."
1,"- Amends TCA Title 39, Chapter 13."
1,"AN ACT to amend and reenact sections 23-02.1-01, 23-02.1-13, and 23-02.1-15 of the North Dakota Century Code, relating to required elements of birth records."
1,"Multiple versions of statutes; amending, merging, consolidating and repealing multiple versions of statutes."
0,Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain minors.
0,Birth Certificate Modifications
0,Define sex in Montana law
0,"Amend The South Carolina Code Of Laws By Amending Section 44-63-100, Relating To The Process Through Which A Person May Make Changes To His Birth Certificate, So As To Provide That Gender Changes To A Person's Birth Certificate May Only Be To Change From Male To Female Or From Female To Male And To Provide For Affidavits That Must Accompany A Petition To Make A Gender Change To A Person's Birth Certificate."
0,"As introduced, adds ""sex"" as a defined term for statutory construction purposes."
1,"- Amends TCA Title 1, Chapter 3 and Title 49, Chapter 2, Part 8."
0,"Amend KRS 213.046, 213.056, and 213.071 to require the biological sex designation on a birth certificate to be either male or female and prohibit a nonbinary or any symbol representing a nonbinary designation including the letter ""X."""
0,"Relating to the definition and use of the terms """"male"""" and """"female"""" for purposes of certain government documents."
1,"A BILL for an Act to create and enact a new section to chapter 23-02.1 of the North Dakota Century Code, relating to correction or amendment of birth records."
0,Relating to the required inclusion of a person's sex on a birth certificate.
0,"The purpose of this bill is to require birth certificates issued in this state to include the gender of the child at birth and prohibit use of the term """"non-binary"""" on birth certificates."
0,"Provides that a new certificate of birth issued by the State shall include a designation of the sex of the person born, based on the genitalia of the person."
0,"Authorizes amendments of designations of sex on certificates of birth, provided that the birth registrant is an adult, and new designation is based on the genitalia of the birth registrant, as confirmed by a physician or physician's assistant."
0,Government documents; sex identification
0,Designation of sex on birth certificate.
0,"Defines """"sex"""" for purposes of birth certificates."
1,"A BILL for an Act to amend and reenact section 1-01-34 of the North Dakota Century Code, relating to gender usage in the North Dakota Century Code; and to provide a penalty."
