Topic,Documents
0,Sex education instruction; parental rights
0,Requires correctional police officer consent to conducting strip or body cavity search of transgender inmate.
0,"As introduced, prohibits this state and any political subdivision of this state, or any official of this state or a political subdivision, from creating, enforcing, or endorsing policies that respect or promote non-secular self-asserted sex-based identity narratives, sexual orientation orthodoxy, or non-secular marriage doctrine because the policies fail the Lemon test, as established by the United States Supreme Court in Lemon v. Kurtzman, 403 U.S. 602 (1971). - Amends TCA Title 3; Title 4 and Title 36."
0,A bill for an act relating to curricula offered by school districts that include instruction relating to gender identity.
0,A bill for an act relating to the construction of the Iowa civil rights Act of 1965 regarding sex and gender identity.
0,A bill for an act removing gender identity as a protected class under the Iowa civil rights Act.
0,A bill for an act relating to instruction relating to gender identity in the curriculum provided to students enrolled in elementary education programs.
0,"A BILL for an Act to create and enact a new chapter to title 14 of the North Dakota Century Code, relating to nonsecular self-asserted sex-based identity narratives, to prohibit the state from creating or enforcing policies that directly or symbolically respect nonsecular self-asserted sex-based identity narratives or sexual orientation orthodoxy pursuant to the establishment clause of the First Amendment to the United States Constitution and section 3 of article I of the Constitution of North Dakota; to provide for the continued enforcement of secular marriage policies; to prohibit discrimination for nonsecular beliefs pursuant to the free exercise clause of the First Amendment to the United States Constitution and section 3 of article I of the Constitution of North Dakota."
0,Relating to judicial review of certain local laws applicable to state license holders.
0,"This resolution requests the President and directs the Department of Defense (DOD) to transmit to the House of Representatives any record created on or after January 21, 2021, that pertains to DOD and includes certain terms and phrases relating to gender (e.g., transgender)."
0,"A bill to authorize funding for, and increase accessibility to, the National Missing and Unidentified Persons System, to facilitate data sharing between such system and the National Crime Information Center database of the Federal Bureau of Investigation, to provide incentive grants to help facilitate reporting to such systems, and for other purposes."
1,Public finance; specifying certain duty of Director of Office of Management and Enterprise Services.
0,"This resolution expresses the sense of the House of Representatives that (1) for purposes of federal law, a person's sex means the person's biological sex at birth; and (2) distinctions between the sexes are justified in certain settings, laws, and policies."
0,"This resolution expresses the sense of the Senate that (1) for purposes of federal law, an individual's sex means the individual's biological sex at birth; and (2) distinctions between the sexes are justified in certain settings, laws, and policies."
0,"Prohibits an elementary school from receiving federal education funds unless a teacher requests written parental consent prior to teaching a lesson specifically related to gender identity, sexual orientation, or transgender studies. In particular, the bill requires a teacher to request written consent from the parent of each student enrolled in the class prior to teaching the lesson. If a parent does not submit written consent to the lesson, then the school must provide the student with an alternative period of learning or study hall. Further, the teacher may not teach the lesson if the principal does not receive written consent from the parents of at least 50% of the students enrolled in the class."
0,GENITAL MUTILATION OF A CHILD -- Amends existing law to provide for the crime of genital mutilation in certain instances and to provide certain exemptions.
0,Establishes a framework to prohibit correctional institutions at the federal and state levels from using gender identity to house inmates of one biological sex with inmates of the other biological sex.
0,Ban people from picking a correctional facility based on their gender choice
