Topic,Documents
7,A bill for an act relating to actions taken by school districts concerning student pronoun preference.
-1,"To secure schools, to increase access to mental health resources, and for other purposes."
-1,Prohibits an elementary or secondary school from receiving federal funds unless the school complies with specified requirements related to parental consent and student gender identity.
0,"Among other requirements, school employees may not withhold information from parents about a minor student's gender transition or gender identity."
5,The Department of Justice or a parent or guardian may bring a civil action against a school for violations.
14,Parental rights; schools; educational records
-1,"A BILL to be entitled an Act to amend Title 20 of the O.C.G.A., relating to education, so as to prevent the use of and reliance upon curricula or training programs which act upon, promote, or encourage certain concepts, with exceptions; to provide for related matters; to repeal conflicting laws; and for other purposes."
0,"As introduced, specifies that a teacher or other employee of a public school or LEA is not required to refer to a student using the student's preferred pronoun if the pronoun does not align with the student's biological sex; insulates a teacher or other employee of a public school or LEA from civil liability and adverse employment action for referring to a student using the pronoun aligned with the student's biological sex instead of the student's preferred pronoun."
8,"- Amends TCA Title 49, Chapter 6."
10,"Requiring each agency head to take certain measures to prevent the use of training for agency employees which espouses certain concepts; authorizing municipalities to provide certain training, workshops, or programming; prohibiting municipalities from providing mandatory employee training that espouses certain concepts; requiring contracts with an agency which are entered into or renewed on or after a specified date to include the option to terminate if the contractor provides workforce training that espouses certain concepts; requiring public K-20 educational institutions to ensure certain diversity and inclusion efforts and to prohibit certain discrimination, etc."
4,Creating Anti-Racism Act of 2022
4,"The purpose of this bill is to prohibit race or sex stereotyping, biologically and or genetically counter factual instruction, and/or or a biased and historically inaccurate account of comparative political economic systems in 1) instruction provided to pupils in school districts and independent charter schools; and 2) training provided to employees of school boards and independent charter schools."
4,"Under the bill, any course or part of any curriculum or pedagogy, or employee training that violates the requirements of the act is prohibited."
4,"Among the concepts that are prohibited from being taught under the bill are the following: that one race or sex is inherently superior to another race or sex and that an individual, by virtue of the individual’s race or sex, bears responsibility for acts committed in the past by other individuals of the same race or sex, that persons must recognize identifications contrary to biology and/or genetics, and the presentation of any socialist, communist, or otherwise Marxist, Maoist or critical theory inspired system of political economy without the accurate inclusion of the historically documented scale of state sponsored terror and murder, economic inefficiency, and starvations which have occurred under such forms of political economy and co-equal instructional time dedicated to free-market economies, capitalism and freely elected constitutional democratic republics."
-1,"The bill provides that the state superintendent of public instruction notify parents and employees of violations of the act, waives sovereign immunity for violations of the act, and provides a private right of action by a parent, guardian or employee for violations of the act."
2,"The bill also requires each school board to post all curricula and training for teachers used in schools in the school district on the school district’s internet site and, if a school board maintains an internet site for an individual school, on the individual school’s internet site."
2,"If an internet site is maintained for an independent charter school, the bill requires the authorizer of the independent charter school to ensure that all curricula used in the independent charter school are posted on the independent charter school’s internet site."
2,"Under the bill, upon request, a school board or independent charter school operator must provide a printed copy of any curriculum that it is required to post on its internet site, at no cost to the requester."
-1,"An Act Entitled The ""transparency In Education Act""; To Provide Parents Of Public School Students Certain Rights Related To Their Child's Education, Including The Right To Review A Syllabus, Curriculum And Teacher-training Materials And Meet With The Teacher To Discuss Course Content, To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family, To Direct Public Schools To Hold A Curriculum Night To Allow Parents To Review The Curriculum And Meet With Teachers And Staff, To Provide Parental Access To Certain School District Records Concerning Their Child, To Provide Complaint Procedures; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; And For Related Purposes."
-1,"Creates the Parental Access and Curriculum Transparency Act, which may be referred to as PACT."
8,Makes findings.
10,"Provides that no public school district or public institution of higher education shall direct, require, or otherwise compel a student to personally affirm, adopt, or adhere to specified tenets."
