Topic,Count,Name,CustomName,Representation,KeyBERT,OpenAI,MMR,POS,Representative_Docs
-1,31,-1_schools_curriculum_public schools_public,Outlier Topic,"['schools', 'curriculum', 'public schools', 'public', 'certain', 'require', 'act', 'child', 'school', 'establish']","['education act', 'parental right', 'school districts', 'allow parents', 'schools adopt', 'public schools', 'schools establish', 'schools require', 'parental', 'curriculum']",['Parental Rights in Public Schools'],"['schools', 'curriculum', 'public schools', 'public', 'certain', 'require', 'act', 'child', 'school', 'establish']","['schools', 'curriculum', 'public schools', 'public', 'certain', 'act', 'child', 'school', 'adopt', 'education']","['An Act Entitled The ""transparency In Education Act""; To Provide Parents Of Public School Students Certain Rights Related To Their Child\'s Education, Including The Right To Review A Syllabus, Curriculum And Teacher-training Materials And Meet With The Teacher To Discuss Course Content, To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family, To Direct Public Schools To Hold A Curriculum Night To Allow Parents To Review The Curriculum And Meet With Teachers And Staff, To Provide Parental Access To Certain School District Records Concerning Their Child, To Provide Complaint Procedures; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; And For Related Purposes.', 'An Act Entitled The ""transparency In Education Act""; To Provide Parents Of Public School Students Certain Rights Related To Their Child\'s Education, Including The Right To Review A Syllabus, Curriculum And Teacher-training Materials And Meet With The Teacher To Discuss Course Content; To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family; To Direct Public Schools To Hold A Curriculum Night To Allow Parents To Review The Curriculum And Meet With Teachers And Staff; To Provide Parental Access To Certain School District Records Concerning Their Child; To Provide Complaint Procedures; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; And For Related Purposes.', 'Create new sections of KRS Chapter 158 to define terms; make legislative findings and declarations on the rights of parents as it relates to public schools and establish a standard to protect those rights; require public schools to establish a process to receive complaints of violations; create a cause of action for violations and establish limitations; establish specific parental rights as related to public schools; require public schools to adopt policies to protect those rights; require the Kentucky Department of Education to eliminate administrative regulations in violation and develop recommended policies to public schools for compliance; make findings and declarations related to privacy of parents and children and require public schools to adopt policies to safeguard those rights; establish a cause of action for a child encountering a person of the opposite biological sex while in a location where there is a reasonable expectation of bodily privacy; create a cause of action for those who are forced by a public school to share private quarters with specific people of the opposite biological sex and provide exclusions; make findings and declarations relating to controversial subject matter in common schools; establish a parental right of not having a child indoctrinated into any political position or being involved in advocacy in a controversial subject matter; establish limitations on school personnel related to instruction and discussion on sexual orientation, sexual preference, or gender expression; establish limitations on school personnel advocacy in the scope of employment and actions based on the immutable characteristics of students; prohibit compelling school personnel to advocate for or against anything in opposition to sincerely held beliefs and convictions; require public schools to adopt enforcement policies; establish limitations; establish a parental right to expect a child not be exposed to or given access to harmful to minors, pervasively vulgar, or obscene matter or performance or obscene imagery representing minors; require that public schools adopt policies to protect that right by making those materials and performances inaccessible and prohibit matters and performances harmful to minors, drag performances, pervasively vulgar performances, obscene performances, and any performance involving sexual conduct, nudity, or stripping; provide that none of the materials identified shall be deemed to have educational value for minors; establish limitations; amend KRS 158.148 to establish a parental right to expect a child will not be bulled at school and require public schools adopt policies to ensure notification and support of bullying victims, require an order of reporting to staff, require specific time requirements for investigations; provide for an appeal and review of incidents; require identification of actions to prevent future acts of bullying or retaliation; require procedures for supporting victims; establish a short title of the Childhood Protection in Education Act.']"
0,16,0_student_sex_biological_biological sex,School Pronoun Policy,"['student', 'sex', 'biological', 'biological sex', 'pronoun', 'school', 'employee', 'student biological', 'pronouns', 'gender']","['school policies', 'student gender', 'pronouns students', 'gender fluidity', 'gender identity', 'concerning student', 'student biological', 'school employees', 'school corporation', 'identity gender']",['School Pronoun Policy'],"['student', 'sex', 'biological', 'biological sex', 'pronoun', 'school', 'employee', 'student biological', 'pronouns', 'gender']","['student', 'sex', 'biological sex', 'biological', 'pronoun', 'school', 'employee', 'pronouns', 'gender', 'public school']","[""Requires a public school, including a charter school, to notify the parent of an unemancipated minor, if the student: (1) makes a certain disclosure concerning the student's gender identity or gender expression to an employee or staff member of the school; or (2) changes, expresses a desire to change, or makes a request to change the student's name, attire, or pronoun, title, or word to identify the student in a manner that is inconsistent with the student's biological sex at birth."", ""As introduced, specifies that a teacher or other employee of a public school or LEA is not required to refer to a student using the student's preferred pronoun if the pronoun does not align with the student's biological sex; insulates a teacher or other employee of a public school or LEA from civil liability and adverse employment action for referring to a student using the pronoun aligned with the student's biological sex instead of the student's preferred pronoun."", ""As introduced, specifies that a teacher or other employee of a public school or LEA is not required to refer to a student using the student's preferred pronoun if the pronoun is not consistent with the student's biological sex; insulates a teacher or other employee of a public school or LEA from civil liability and adverse employment action for referring to a student using the pronoun that is consistent with the student's biological sex.""]"
1,14,1_parent_health_provide_information,Parental Rights and Health Services,"['parent', 'health', 'provide', 'information', 'child', 'parents', 'mental', 'rights', 'governmental', 'shall']","['parental consent', 'provide parents', 'parental rights', 'parental', 'parent legal', 'child parent', 'parent', 'school district', 'legal guardian', 'unemancipated minor']",['Parental Rights and Health Services'],"['parent', 'health', 'provide', 'information', 'child', 'parents', 'mental', 'rights', 'governmental', 'shall']","['parent', 'health', 'information', 'child', 'parents', 'mental', 'rights', 'governmental', 'records', 'care']","['Create new sections of KRS Chapter 405 to establish definitions; provide for parental rights; establish that no governmental entity shall substantially burden the rights of parents unless required by a compelling governmental interest of the highest order and in the least restrictive means; establish specific rights of parents, with some limitations; provide that specific governmental employees shall not encourage or coerce a child to withhold information from a parent; recognize additional rights beyond those enumerated; require local boards of education or boards of directors of public charter schools to adopt specific policies to promote involvement of parents in education; allow the Kentucky Department of Education to provide consultation and model policies that shall not be binding on schools; require a report from the Kentucky Department of Education on the consultation and model policies provided to schools; require obtaining parental consent prior to procuring, soliciting to perform, arranging for the performance of, providing a referral for, or providing medical or mental health services to a child; require verification of identity for remote parental consent; establish limits of the applicability of the requirement; establish a cause of action for violation; establish terms and conditions for the cause of action; waive sovereign, governmental, and qualified immunity; specify applicability; amend KRS 160.715 to provide a procedure for requesting, inspecting, and reviewing specific information held by a school district or public charter school; and amend KRS 214.185 to establish the conditions required for providing medical or mental health services to a minor without consent of the parent or legal guardian; EMERGENCY.', 'An Act To Enact The ""families\' Rights And Responsibilities Act""; To Provide That The Liberty Of A Parent To Direct The Upbringing, Education, Health Care And Mental Health Of That Parent\'s Child Shall Be A Fundamental Right; To Provide That The State, Any Political Subdivision Of This State Or Any Other Governmental Entity Shall Not Substantially Burden The Fundamental Right Of A Parent To Direct The Upbringing, Education, Health Care And Mental Health Of That Parent\'s Child Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest Of The Highest Order As Applied To The Parent And The Child And Is The Least Restrictive Means Of Furthering That Compelling Governmental Interest; To Provide Specific Rights And Responsibilities Of Parents; To Set Standards For The Educational Involvement For Parents In School Districts; To Provide That A Person, Corporation, Association, Organization, State-supported Institution Or Individual Employed By Any Of These Entities Shall Obtain The Consent Of A Parent Of A Child Before Taking Any Specific Medical Care; To Provide A Cause Of Action For Any Violation Of The Act; To Provide That Parents Have Inalienable Rights That Are More Comprehensive Than Those Listed In This Act; And For Related Purposes.', 'An Act To Establish The ""parents\' Bill Of Rights Act Of 2023""; To Define Terminology Used Herein; To Establish That A Parent\'s Liberty To Direct The Upbringing, Education, Health Care And Mental Health Of His Or Her Child Is A Fundamental Right; To Prohibit The State Or Any Political Subdivision Thereof From Substantially Burdening A Parent\'s Fundamental Right Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Obstruction By Or Interference From The State Or Any Political Subdivision Thereof; To Provide That Abuse Or Neglect Of A Child By A Parent Or The Action Or Decision Of A Parent That Would End Life Are Not Authorized By This Act; To Prohibit Employees Of This State And Any Political Subdivision Thereof, Except For Law Enforcement Personnel, From Encouraging Or Coercing A Child To Withhold Information From The Child\'s Parent; To Further Prohibit Such Employees From Withholding Information That Is Relevant To A Child\'s Physical, Emotional Or Mental Health From A Child\'s Parent; To Require The Board Of Education Of A School District To Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The District\'s Schools; To Prescribe The Minimum Requirement Procedures To Be Addressed By The Policy; To Provide The Board Of Education Of A School District With The Discretion To Adopt A Policy To Provide To Parents The Information In An Electronic Form; To Require Parents To Submit A Written Or Electronic Request For The Child\'s Information To The School Principal Or The Superintendent Of The School District; To Require The School Principal Or Superintendent To Provide The Requested Information To The Parents Within Ten Days Of Receiving The Request, Or Submit To The Parent A Written Explanation Of The Reasons For The Denial Of The Requested Information; To Prescribe The Process By Which A Parent May Submit A Formal Consideration Of The Request Of Information With The School Board If The Requested Information Is Not Received Five Days After Submitting The Initial Request; To Establish A Cause Of Action For Violation Of This Act; To Provide That This Act Shall Serve As A Defense To Any Cause Of Action That Is Raised As A Result Of A Violation Thereof; To Provide That The Rules Of Construction Shall Provide Broad Protection Of A Parent\'s Fundamental Rights As Inalienable Unless Those Rights Have Been Legally Waived Or Legally Terminated; To Amend Section 37-3-49, Mississippi Code Of 1972, To Provide The Parent Of Each Public School Student With The Right To Receive Effective Communication From The School Principal As To The Manner In Which Instructional Materials Are Used To Implement The School\'s Curricular Objectives; To Amend Section 37-13-173, Mississippi Code Of 1972, To Provide Parents The Authority To Opt Their Children Out Of Any Instruction Of The School District\'s Comprehensive Health Education Relating To Sex Education Upon Submitting A Written Request To The School Principal; To Amend Section 37-15-3, Mississippi Code Of 1972, To Provide That Student And Parental Rights To Education Records Created, Maintained, Or Used By Public Educational Institutions And Agencies Shall Be Protected; To Stipulate That Students And Their Parents Maintain The Right To Access The Student\'s Educational Records, Waive Access To Such Records, Challenge The Content Of Such Records, Privacy Of Such Records And To Receive Annual Notice Of The Rights To Such Records; To Bring Forward Sections 37-7-301, 37-13-171 And 43-21-105, Mississippi Code Of 1972, For Purposes Of Possible Amendments; And For Related Purposes.']"
2,13,2_board_state board_school_independent charter,School Board Funding Approval,"['board', 'state board', 'school', 'independent charter', 'independent', 'charter school', 'requires', 'school board', 'state', 'charter']","['curriculum provides', 'school board', 'board education', 'state board', 'school district', 'provides school', 'establishes requirements', 'curriculum', 'charter school', 'department education']",['School Board Funding Approval'],"['board', 'state board', 'school', 'independent charter', 'independent', 'charter school', 'requires', 'school board', 'state', 'charter']","['board', 'school', 'independent charter', 'independent', 'state', 'charter', 'applicable', 'department', 'national', 'education']","['Provides that a school board may submit a certified question to the applicable board of elections to approve or disapprove of funding certain curriculum.', 'Under the bill, upon request, a school board or independent charter school operator must provide a printed copy of any curriculum that it is required to post on its internet site, at no cost to the requester.', 'Provides that a: (1) school that seeks state accreditation; and (2) national or regional accreditation agency that seeks to be recognized by the state board of education (state board); must complete and submit the applicable application form established by the state board.']"
3,12,3_prohibits_gender_gender identity_identity,School Gender Identity Ban,"['prohibits', 'gender', 'gender identity', 'identity', 'requirement', 'orientation', 'sexual orientation', 'orientation gender', 'sexual', 'schools']","['prohibits school', 'sexual orientation', 'prohibits', 'orientation gender', 'gender identity', 'school board', 'public schools', 'school boards', 'instruction gender', 'school personnel']",['School Gender Identity Ban'],"['prohibits', 'gender', 'gender identity', 'identity', 'requirement', 'orientation', 'sexual orientation', 'orientation gender', 'sexual', 'schools']","['gender', 'identity', 'requirement', 'orientation', 'sexual orientation', 'sexual', 'schools', 'students', 'instruction', 'corporation']","['Bans instruction related to sexual orientation and gender identity in public schools.', 'Prohibits classroom instruction on sexual orientation and gender identity, absent parental consent, before fourth grade.', 'Prohibits school corporation personnel or a third party vendor that contracts with a school corporation from providing instruction on sexual orientation or gender identity: (1) to any students of the school corporation enrolled in kindergarten through grade 12; or (2) in a manner that is not age appropriate or developmentally appropriate for students in accordance with state law.']"
4,9,4_race_institutions higher_higher education_higher,Prohibition of Critical Race Theory,"['race', 'institutions higher', 'higher education', 'higher', 'institutions', 'inclusion', 'public institutions', 'provision', 'contrary', 'sex']","['prohibits', 'school districts', 'provision law', 'public schools', 'education state', 'school boards', 'public institutions', 'charter schools', 'prohibit', 'notwithstanding provision']",['Prohibition of Critical Race Theory'],"['race', 'institutions higher', 'higher education', 'higher', 'institutions', 'inclusion', 'public institutions', 'provision', 'contrary', 'sex']","['race', 'higher', 'higher education', 'institutions', 'public institutions', 'provision', 'inclusion', 'contrary', 'sex', 'political']","['Among the concepts that are prohibited from being taught under the bill are the following: that one race or sex is inherently superior to another race or sex and that an individual, by virtue of the individual’s race or sex, bears responsibility for acts committed in the past by other individuals of the same race or sex, that persons must recognize identifications contrary to biology and/or genetics, and the presentation of any socialist, communist, or otherwise Marxist, Maoist or critical theory inspired system of political economy without the accurate inclusion of the historically documented scale of state sponsored terror and murder, economic inefficiency, and starvations which have occurred under such forms of political economy and co-equal instructional time dedicated to free-market economies, capitalism and freely elected constitutional democratic republics.', 'Provides that, notwithstanding any provision of law to the contrary, no distinction or classification of students may be made on account of race or color; however, nothing in this provision may be construed to prohibit the required collection or reporting of demographic data by public school districts or public institutions of higher education.', 'Provides that, notwithstanding any provision of law to the contrary, no distinction or classification of students shall be made on account of race or color, but nothing in the provisions shall be construed to prohibit the required collection or reporting of demographic data by public school districts or public institutions of higher education.']"
5,8,5_decision_complaint_provides_request,Grievance Procedures for School Complaints,"['decision', 'complaint', 'provides', 'request', 'parent', 'school corporation', 'corporation', 'provides parent', 'department', 'requires']","['complaint', 'school corporation', 'resolve objections', 'civil action', 'decision parent', 'department education', 'complaints', 'parent student', 'objections', 'qualified school']",['Grievance Procedures for School Complaints'],"['decision', 'complaint', 'provides', 'request', 'parent', 'school corporation', 'corporation', 'provides parent', 'department', 'requires']","['decision', 'complaint', 'request', 'parent', 'corporation', 'department', 'complaints', 'procedure', 'principal', 'student']","[""Requires a school corporation to: (1) establish a grievance procedure for a violation of the provisions; and (2) post the grievance procedure on the school corporation's website."", 'Provides that, if a parent of a student or a student, if the student is an adult or an emancipated minor, is not satisfied with a final decision, the parent or student may submit a request to the secretary of education (secretary) to review the complaint and decision.', ""Provides that a parent who is not satisfied with a decision by a school principal or principal's designee regarding a complaint by the parent may request the department of education (department) to review the complaint and decision.""]"
6,7,6_63_section_parents_children,Parental Rights and Education,"['63', 'section', 'parents', 'children', 'provide', 'chapter', 'care', 'health', 'fundamental rights', 'rights']","['education act', 'rights parents', 'parental consent', 'amend', 'allow parents', 'amending', 'minor consent', 'provide parents', 'written parental', 'laws']",['Parental Rights and Education'],"['63', 'section', 'parents', 'children', 'provide', 'chapter', 'care', 'health', 'fundamental rights', 'rights']","['families', '', '', '', '', '', '', '', '', '']","[""Amend The South Carolina Code Of Laws By Adding Section 59-29-12 So As To Provide Students In State-funded Places Of Learning With An Education Focused On Excellence And Integrity, Equip Them To Think Independently And Critically, Support Educators By Maintaining A Learning And Work Environment Unencumbered By Social Or Political Activism, Treat Students And Employees Of Schools With Dignity As Unique Individuals Without Stereotyping Or Scapegoating, Provide Instruction Free From Ideological Indoctrination Or Coercion, Foster And Defend Intellectual Inquiry And Freedom Of Speech As Well As Freedom From Compelled Speech, Require Clear Distinctions Between The Teaching Of Theory And Fact, Require Full Transparency Of Curricula, Protect The Privacy And Innocence Of Children And Guard Them Against Obscene And Mature Materials, Respect The Rights Of Parents As Their Child's Decision-makers For Health And Well-being, Including Emotional And Sexual Development, Defer To Parents As Their Child's Primary Source Of Moral And Social Values, Allow Parents To Opt Out Of Activities That Violate This Act, Establish A Clear Protocol For Reporting Violations And Allowing Local Entities To Address And Correct Issues, And Require Privacy And Nondisclosure During The Investigation Process."", ""Amend The South Carolina Code Of Laws By Adding Chapter 23 To Title 63 So As To Provide That Parents Have Fundamental Rights Regarding The Upbringing, Education, And Care Of Their Children; To Define Necessary Terms; To Limit The Ability Of The Government To Infringe On Parental Rights; To Identify Certain Fundamental Rights Of Parents; To Require That School Districts Create Parental Involvement Policies; To Prohibit Care Providers From Soliciting Or Providing Health Care Services To Children Without Written Parental Consent; To Provide That The Chapter's Provisions Supersede State Of Emergency Declarations; To Create A Cause Of Action For Violations Of This Chapter; And By Amending Section 63-5-340, Relating To The Age At Which A Minor May Consent To Health Services, So As To Raise The Age To Eighteen."", ""Amend The South Carolina Code Of Laws, Title 63, By Adding Chapter 23 So As To Enact The Parental Bill Of Rights; By Adding Section 63-23-110 So As To Provide That Parents Have Fundamental Rights Regarding The Upbringing, Education, And Care Of Their Children; By Adding Section 63-23-120 So As To Define Necessary Terms; By Adding Section 63-23-130 So As To Provide That The Government Cannot Infringe On Fundamental Rights Of Parents Without A Compelling State Interest That Is Narrowly Tailored And That Cannot Be Achieved By A Less Intrusive Means; By Adding Section 63-23-140 So As To Provide Fundamental Rights Of Parents; By Adding Section 63-23-150 So As To Require That School Districts Should Create Parental Involvement Policies; By Adding Section 63-23-160 So As To Prohibit Health Care Providers From Soliciting Or Providing Health Care Services To Children Without Written Parental Consent; By Adding Section 63-23-170 To Provide That The Provisions Contained In This Chapter Supersede Any Matter To The Contrary Contained In A State Of Emergency; By Adding Section 63-23-180 To Provide For A Cause Of Action For Violations Of This Chapter; And By Amending Section 63-5-340, Relating To A Minor's Consent To Health Services, So As To Raise The Age At Which A Minor May Consent To Health Services.""]"
7,7,7_act relating_relating_districts_school districts,Gender Identity Instruction Legislation,"['act relating', 'relating', 'districts', 'school districts', 'charter', 'school', 'gender identity', 'identity', 'act', 'enrolled']","['prohibit school', 'school districts', 'school district', 'schools charter', 'sexual orientation', 'gender identity', 'schools creating', 'act relating', 'charter schools', 'orientation gender']",['Gender Identity Instruction Legislation'],"['act relating', 'relating', 'districts', 'school districts', 'charter', 'school', 'gender identity', 'identity', 'act', 'enrolled']","['districts', 'charter', 'school', 'identity', 'act', 'gender', 'kindergarten', 'instruction', 'orientation', 'sexual orientation']","['A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade three.', 'An Act To Provide That The Local School Board Of Every Public School District And Public Charter School Shall Adopt A Procedure For Notifying The Parent Of A Student Enrolled In The School Regarding Mental, Emotional And Physical Health Of The Student And Available Health-related Services; To Provide For Parental Consent For Such Services; To Authorize Student Well-being Questionnaires; To Prohibit School Personnel From Providing Or Allowing A Third Party To Provide Instruction Regarding Sexual Orientation Or Gender Identity To Students Enrolled In K-12 In A Manner That Is Not Age Or Developmentally Appropriate; To Amend Section 37-9-59, Mississippi Code Of 1972; To Authorize Dismissal Or Suspension For A Certified Teacher Who Does Not Comply With The Provisions Of This Act Relating To Sexual Orientation Or Gender Identity; And For Related Purposes.', 'A bill for an act relating to education, including modifying the responsibilities of the state board of education and school districts, prohibiting instruction related to gender identity or sexual orientation in school districts and charter schools in kindergarten through grade eight, modifying provisions associated with the human growth and development instruction and health screenings provided in school districts, charter schools, and innovation zone schools, and providing civil penalties.']"
8,7,8_title_49_makes_changes,Title Amendments and Findings,"['title', '49', 'makes', 'changes', 'title 63', '12', 'findings', '63', 'chapter', '']","['changes', 'findings', 'title 63', 'makes', 'title', 'chapter', '49', '63', '12', '']",['Title Amendments and Findings'],"['title', '49', 'makes', 'changes', 'title 63', '12', 'findings', '63', 'chapter', '']","['changes', 'findings', '', '', '', '', '', '', '', '']","['Makes other changes.', '- Amends TCA Title 9; Title 12; Title 49 and Title 63.', '- Amends TCA Title 49, Chapter 6.']"
