Topic,Documents
1,"Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2022-2023 state fiscal year; makes certain provisions relating to the criminal justice discovery compensation fund permanent (Part A); provides for incarcerated individuals who have a gender identity that differs from their assigned sex at birth, have a diagnosis of gender dysphoria, who identify as transgender, gender nonconforming, or nonbinary, or who are intersex to request to be placed in a correctional facility with persons of the gender that is consistent with such incarcerated individual's gender identity (Part B); expands limited credit time and eligibility for furloughs and educational leave (Part C); repeals the supervision fee paid by individuals who are in a supervised release program (Part D); authorizes the department of corrections and community supervision access to certain records (Part E); requires members of the state parole board to devote their entire time to the duties of their office (Part F); suspends the transfer of monies into the New York state emergency services revolving loan fund from the public safety communications account for the state fiscal years 2022--2023 and 2023--2024 (Part G); establishes a mandatory training certification for all domestic and gender-based victim advocates (Part H); provides for awarding reimbursement for certain items of essential personal property (Part I); extends provisions relating to value limitations on contracts (Part J); allows a municipality to elect to receive notice by email (Part K); requires certain information to be requested in applications for licenses; repeals certain provisions of such law relating thereto (Part L); makes permanent provisions relating to liquidator's permits and temporary retail permits (Part M); modifies voter registration deadlines (Part N); provides for the boundaries of election districts and the designation of polling places (Part O); permits retail licensees for on-premises consumption of alcohol to sell and deliver alcoholic beverages for off-premises consumption (Part P); prohibits nepotism and certain gifts and conflicts of interest (Part Q); permits the civil service department or a municipal commission to establish a continuing eligible list for any class of positions for which it finds such lists are appropriate (Part R); permits employees in the state service in the non-competitive or labor class the same opportunity as employees in the competitive class to take promotion examinations (Part S); grants employees hired under sections 55-B and 55-C of the civil service law the opportunity to transfer into competitive class positions, provided that such employees meet the requirements for competitive examination and possess the requisite credentials, licenses and certifications as necessary (Part T); expands eligibility for shift pay differentials (Part U); provides for the rate of interest to be paid on judgement and accrued claims (Part V); streamlines the county-wide shared services initiative (Part W); provides aid and incentives for municipalities to towns and villages (Part X); provides for the administration of certain funds and accounts related to the 2022-2023 budget, authorizing certain payments and transfers; provides for the administration of certain funds and accounts; permits the issuance of certain bonds or notes; provides for personal income tax notes for 2022; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities for 2022; relates to state-supported debt issued during the 2022 fiscal year; provides for payments of certain bonds; authorizes and directs the state comptroller to utilize the mental health services fund for certain purposes (Part Y); establishes the ""independent ethics commission reform act of 2022"", creating the independent commission on ethics and lobbying in government (Part Z); provides for the automatic sealing of certain convictions (Part AA); provides for employment of incarcerated individuals by a private sector entity or as part of a prison industries certification program authorized by the United States (Part BB)."
3,"An Act relating to school athletics, recreation, athletic teams, and sports."
6,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.
1,Concerning the housing of inmates in state correctional facilities.
-1,A bill to secure the dignity and safety of incarcerated women.
4,"Amend The Code Of Laws Of South Carolina, 1976, To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Express Legislative Intent And Make Certain Findings; To Require Gender-based Or Coeducational Designation Of Certain Public Secondary And Postsecondary School Sports Teams; To Provide Such Sports Teams Designated For Males May Be Open To Female Student Participants; To Provide Such Sports Teams Designated For Females May Not Be Open To Male Participants; To Provide Assumptions Concerning The Correctness Of Biological Gender Statements On Official Birth Certificates Of Students; And To Provide Remedies To Students And Schools For Violations Of The Provisions Of This Act."
0,Relating to requiring public school students to compete in interscholastic athletic competitions based on biological sex.
1,"A bill to require elementary schools and secondary schools that receive Federal funds to obtain parental consent before facilitating a child's gender transition in any form, and for other purposes."
1,"To enact sections 3129.01, 3129.02, 3129.03, 3129.04, 3129.05, 3129.06, 3129.07, and 3129.08 of the Revised Code to prohibit certain procedures to alter a minor child's sex and to designate this act as the Save Adolescents from Experimentation (SAFE) Act."
-1,To Create The Arkansas Privacy Accommodations Act; And To Amend The Law Concerning Public Property.
-1,To Prohibit Requiring Public School And Institution Of Higher Education Employees From Addressing A Student By A Term That Identifies A Student As Male Or Female And That Is Inconsistent With The Student's Biological Sex.
0,An Amendment To The Arkansas Constitution Providing That Interscholastic Or Intramural Athletic Teams That Are Sponsored By A Public School Shall Be Expressly Designated Based On Biological Sex.
0,Relating to requiring public school and public institution of higher education students to compete in interscholastic athletic competitions based on biological sex.
1,Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain minors.
1,Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.
1,Relating to the definition of abuse of a child.
0,Relating to requiring public school and public institution of higher education students to participate in interscholastic athletic activities based on biological sex.
1,Relating to the provision of certain gender-affirming therapy and counseling to children.
0,An Act To Ban Biological Males from Participating in Women's Sports
0,Relating to the separation based on biological sex of athletics teams sponsored by a public school or institution of higher education.
0,Biological sex; interscholastic athletics
2,"Establishes the ""Save Women's Sports Act"" to protect female-only athletics in middle schools, high schools, and colleges"
4,"To enact sections 3313.5317, 3345.561, 3376.01, 3376.02, 3376.03, 3376.04, 3376.05, 3376.06, 3376.07, and 3376.08 of the Revised Code to allow intercollegiate athletes to earn compensation from their name, image, or likeness, to enact the Save Women's Sports Act to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex."
0,Education: athletics; requirement that only biological males may compete for a position on and compete on a boys' high school team in an interscholastic activity and only biological females may compete for a position on and compete on a girls' high school team in an interscholastic activity; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a & repeals sec. 1289 of 1976 PA 451 (MCL 380.1289).
2,Provides for the Fairness in Women's Sports Act relative to a school's ability to offer opportunities to each student to participate in team sporting events on an equal basis. (8/1/21) (EN NO IMPACT LF EX See Note)
5,An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes; Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.
5,An Act to amend 118.13 (1); and to create 118.132 of the statutes; Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.
-1,An Act To Prohibit Biological Males from Participating in School Athletic Programs and Activities Designated for Females at Schools That Receive Federal Funding
0,Relating to single-sex participation in interscholastic athletic events
6,"As enacted, enacts the ""Tennessee Accommodations for All Children Act."" - Amends TCA Title 49."
6,"As enacted, requires a public or private entity or business that operates a building or facility open to the general public to post a notice at the entrance of each public restroom of the entity's or business's policy of allowing a member of either biological sex to use any public restroom within the building or facility, if the entity or business maintains such a policy. - Amends TCA Title 4; Title 5; Title 6; Title 7; Title 49 and Title 68."
0,"Amends the Interscholastic Athletic Organization Act. Provides that any athletic team or sport that is under the jurisdiction of an association or entity that provides for interscholastic athletics or athletic competition among schools and student must be expressly designated as (i) a male athletic team or sport, (ii) a female athletic team or sport, or (iii) a coeducational athletic team or sport. Provides that an athletic team or sport designated as being female is available only to participants who are female, based on their biological sex. Requires a school district or nonpublic school to obtain a written statement signed by a student's parent or guardian or the student verifying the student's age, biological sex, and that the student has not taken performance enhancing drugs; provides for a penalty for false or misleading statements. Prohibits a governmental entity or an association or entity that provides for interscholastic athletics or athletic competition among schools and students from entertaining a complaint, opening an investigation, or taking any other adverse action against a school district or nonpublic school for maintaining athletic teams or sports in accordance with these provisions."
-1,Require interscholastic athletes to participate under sex assigned at birth
2,"Fairness in Women's Sport Act."""
2,Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.
1,Creates Vulnerable Child Protection Act; provides criminal penalties for health care practitioners who engage in or cause specified practices to be performed on minor under certain conditions.
0,"Requires that certain athletic teams or sports sponsored by certain educational institutions be designated on basis of students' biological sex; prohibits athletic teams or sports designated for female students to be open to male students; requires that student's school or institution, as applicable, resolve disputes regarding student's sex; requires State Board of Education to adopt certain rules; provides for civil remedies & damages; provides statute of limitation."
-1,"Creating the ""Promoting Equality of Athletic Opportunity Act""; requiring that certain athletic teams or sports sponsored by certain educational institutions be designated on the basis of students' biological sex; prohibiting athletic teams or sports designated for female students from being open to male students; specifying conditions under which persons who transition from male to female are eligible to compete in the female category; requiring a student that fails to comply with certain conditions to be suspended from female competition for 12 months; requiring the Board of Governors of the State University System to adopt regulations and the State Board of Education to adopt rules regarding the resolution of disputes, etc."
2,To Create The Gender Integrity Reinforcement Legislation For Sports (girls) Act; And To Create A Legal Cause Of Action For A Violation Of The Gender Integrity Reinforcement Legislation For Sports (girls) Act.
1,Provide for youth health protection
3,"AN ACT to create and enact a new section to chapter 14-02.4 of the North Dakota Century Code, relating to participation in athletic events exclusively for males or females; and to provide for a legislative management study."
0,"Schools, public K-12, athletic events allowing competition by one biological gender against another prohibited unless the event specifically includes both genders"
0,Relating to requiring public school students to compete in interscholastic athletic competitions based on sex and a study conducted by the University Interscholastic League on the effects of allowing a student to participate in an athletic competition designated for the sex opposite to the student's sex.
4,"Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Ensure Continued Inclusivity Of Females In The School Sports Arena By Providing That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females May Be Restricted To Students Of The Female Sex, To Provide For Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations."
0,"As enacted, requires that a student's gender for purposes of participation in a public middle school or high school interscholastic athletic activity or event be determined by the student's sex at the time of the student's birth, as indicated on the student's original birth certificate. - Amends TCA Title 49."
1,Youth Health Protection Act
3,"An Act providing for sport activities in public institutions of higher education and public school entities to be expressly designated male, female or coed; and creating causes of action for harms suffered by designation."
1,Restricts prescribing and dispensing of certain drugs to delay puberty and prohibits withholding of certain information from the minor's parent or legal guardian (OR SEE FISC NOTE GF EX)
2,Provides for the Fairness in Women's Sports Act relative to a school's ability to offer opportunities to each student to participate in team sporting events on an equal basis
2,To Create The Fairness In Women's Sports Act.
2,Save Women's Sports Act
0,Concerning equitable competition between students who participate in school athletic activities.
-1,Categorizes women by their biological identity at birth rather than their gender identity for purpose of organized sports.
4,"To enact sections 3313.5317 and 3345.561 of the Revised Code to enact the ""Save Women's Sports Act"" to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex."
1,"Modifies provisions relating to federal funding for, and health insurance coverage of, gender reassignment medical interventions, which include surgical remedies and hormone therapy arising from a conflict between an individual's gender identity and the sex the individual has or was identified as having at birth. Specifically, the bill prohibits the use of federal funds for gender reassignment medical interventions or for health coverage that includes such interventions. Additionally, such interventions may not be provided in a federal health care facility or by a federal employee. Under current law, coverage of these interventions through Medicare and Medicaid is generally determined at the state level. The bill's restrictions regarding the use of federal funds do not apply to treatment of individuals with medically verifiable disorders of sex development, such as individuals born with atypical development of chromosomal, gonadal, or anatomical sex. The bill also prohibits qualified health plans from including coverage for gender reassignment medical interventions. Further, plans that include coverage for such interventions are not eligible for federal subsidies."
1,"Establishes a new criminal offense for performing gender reassignment medical interventions on minors. It also provides that a minor who receives such an intervention may bring a civil action against each person who performed that intervention. The bill defines these interventions as certain surgeries or the use of hormones to change the body of an individual to correspond to a sex that is discordant with the individual's biological sex. It excludes, however, interventions in cases where an individual has ambiguous external biological sex characteristics or where a physician has determined that an individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action. An individual who performs these interventions on a minor is subject to criminal penalties—a fine, a prison term of up to five years, or both. A minor who receives these medical interventions may not be arrested or prosecuted for an offense under this bill."
6,To establish gender guidelines for public school restrooms
3,"An Act To Require Any Public School, Public Institution Of Higher Learning Or Institution Of Higher Learning That Is A Member Of The Ncaa, Naia, Mhsaa Or Njcca To Designate Its Athletic Teams Or Sports According To Biological Sex; To Provide Protection For Any School Or Institution Of Higher Education That Maintains Separate Athletic Teams Or Sports For Students Of The Female Sex; To Create Private Causes Of Action; And For Related Purposes."
0,Relating to requiring public school students to participate in interscholastic athletic activities based on biological sex.
0,"Relating to requiring public school students to participate in interscholastic athletic activities based on biological sex, including a report regarding university athletic participation based on biological sex."
