Topic,Count,Name,CustomName,Representation,KeyBERT,OpenAI,MMR,POS,Representative_Docs
-1,27,-1_males_men_girls_female,Outlier Topic,"['males', 'men', 'girls', 'female', 'athletics', 'athletic', 'school', 'males men', 'men boys', 'participation female']","['school athletic', 'athletic programs', 'intramural athletic', 'athletic teams', 'female sports', 'athletic events', 'athletics', 'interscholastic athletic', 'female athletics', 'participation female']",['Gender-based Athletic Team Designation'],"['males', 'men', 'girls', 'female', 'athletics', 'athletic', 'school', 'males men', 'men boys', 'participation female']","['males', 'girls', 'female', 'athletics', 'athletic', 'school', 'females', 'student', 'participation', 'biological']","['Specifically, the bill prohibits schools from compelling a teacher or student to adopt, affirm, adhere to, or profess racial discrimination theory or any idea in violation of Title IV or Title VI of the Civil Rights Act of 1964; compelling a student to observe or espouse obscene or sexual materials without parental consent; instructing or requiring an employee to refer to a student using a pronoun not associated with the biological sex of the student without parental consent; acting as the agent of a parent for purposes of providing verifiable parental consent or receiving a notice or other information required to be provided to a parent; or neglecting to report sexual assault or sexual harassment on school property to the appropriate law enforcement authorities.', 'Requires each public elementary or secondary school and each private elementary or secondary school that competes in sponsored athletic events against such public schools to designate all interscholastic athletic teams and intramural athletic teams sponsored by such school based on biological sex as follows: (i) for ""males,"" ""men,"" or ""boys""; (ii) for ""females,"" ""women,"" or ""girls""; or (iii) as ""coed"" or ""mixed"" if such team is open to participation by (a) ""males,"" ""men,"" or ""boys"" and (b) ""females,"" ""women,"" or ""girls.""', 'Requires each public elementary or secondary school and each public institution of higher education to expressly designate all interscholastic, intercollegiate, intramural, or club athletic teams and sports sponsored by such school based on biological sex as follows: (i) for ""males,"" ""men,"" or ""boys""; (ii) for ""females,"" ""women,"" or ""girls""; or (iii) as ""coed"" or ""mixed"" if such team or sport is open to participation by both (a) males, men, or boys and (b) females, women, or girls.']"
0,39,0_gender_individual_child_health,Gender Affirmation Procedures Ban,"['gender', 'individual', 'child', 'health', 'procedures', 'certain', 'protection', 'sex', 'minors', 'federal']","['protection act', 'gender dysphoria', 'gender identity', 'provisions relating', 'transgender', 'biological sex', 'act prohibit', 'specifically prohibits', 'gender', 'minors']",['Gender Affirmation Procedures Ban'],"['gender', 'individual', 'child', 'health', 'procedures', 'certain', 'protection', 'sex', 'minors', 'federal']","['gender', 'individual', 'child', 'procedures', 'health', 'certain', 'protection', 'sex', 'minors', 'federal']","['Relating to professional liability insurance coverage for and prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria.', 'Create a new section of KRS Chapter 438 to prohibit medical professionals from performing surgeries or prescribing medications to a minor with the intent to alter the sex the child was assigned at birth and create a civil cause of action for violations; create a new section of KRS Chapter 405 regarding parental rights in the area of gender identity or gender dysphoria; create a new section of KRS Chapter 61 to create employee protections for public employees who express opinions regarding gender identity or gender dysphoria.', ""An Act To Create The Transgender 21 Act; To Prohibit The State, Its Agents, And Political Subdivision From Infringing On A Parent's Right To Withhold Consent For Any Treatment, Activity Or Mental Healthcare Services That Are Designed And Intended To Form Their Child's Conceptions Of Sex And Gender Or To Treat Gender Dysphoria Or Gender Nonconformity; To Prohibit Certain Medical Procedures From Being Performed Upon A Minor; To Provide A Penalty For Any Medical Profession Who Performs Certain Medical Procedures Upon A Minor; To Provide A Good-faith Exception For A Minor Born With A Medically Verifiable Genetic Disorder Of Sexual Development; To Prohibit Any State Agency, Political Subdivision Or Licensing Organization From Forbidding, Penalizing Or Taking Adverse Action Against An Individual Who Gives Or Receives Counsel, Advice, Guidance Or Other Speech Or Communication Consistent With Conscience Or Religious Belief; To Provide That No Individual Shall Be Discriminated Against For Providing Information About A Violation Of This Act To Certain Authorities; To Provide A Private Cause Of Action For Violations Of This Act; To Preempt Political Subdivisions From Promulgating Rules Or Regulations That Limits The Professional Conduct And Judgment Of A Mental Healthcare Professional Or Counselor; To Provide That The Provisions Of This Act Are Severable; And For Related Purposes.""]"
1,23,1_20_introduced_note_hearing,Legislative Bill Introduced Effective,"['20', 'introduced', 'note', 'hearing', '19', 'ex', 'conducted', 'effective date', 'date', 'effective']","['enacted', 'effective date', 'conducted', 'fisc note', 'fisc', '2022', 'introduced', 'effective', '19', '11']",['Legislative Bill Introduced Effective'],"['20', 'introduced', 'note', 'hearing', '19', 'ex', 'conducted', 'effective date', 'date', 'effective']","['date', '', '', '', '', '', '', '', '', '']","['Dead/Failed in Committee 3/3/20', 'Introduced; Referred to Committee 2/7/20', 'Introduced; Referred to Committee 2/6/20']"
2,18,2_sports_prohibit_require_postsecondary,Gender-Segregated Sports Legislation,"['sports', 'prohibit', 'require', 'postsecondary', 'designated', 'teams', 'students', 'provide', 'act', 'designate']","['interscholastic athletics', 'participating athletic', 'women sports', 'sports designated', 'athletic teams', 'intercollegiate', 'act amend', 'athletics', 'sports act', 'student athlete']",['Gender-Segregated Sports Legislation'],"['sports', 'prohibit', 'require', 'postsecondary', 'designated', 'teams', 'students', 'provide', 'act', 'designate']","['sports', 'prohibit', 'postsecondary', 'teams', 'students', 'section', 'institution', 'compensation', 'education', 'athletics']","['Amend KRS 156.070 to require the Board of Education or agency designated by the Board of Education to manage interscholastic athletics to promulgate administrative regulations or bylaws requiring schools that participate in interscholastic athletics to designate all athletic teams, activities, and sports based upon the biological sex of the students eligible to participate; prohibit male students from participating in athletic teams, activities, and sports designated as ""girls""; prohibit designated agencies from entertaining complaints or investigations of policies; create a new section of KRS Chapter 158 to create a cause of action against a school that violates these provisions; require that an action be brought within two years; provide that the Act may be cited as the Save Women’s Sports Act.', ""Amend KRS 156.070 to designate the NAIA and NJCAA as organizations the Kentucky Board of Education must consider in establishing athletic programs, require the Board of Education or agency designated by the Board of Education to manage interscholastic athletics to promulgate administrative regulations or bylaws requiring schools that participate in interscholastic athletics to designate all athletic teams, activities, and sports based upon the biological sex of the students eligible to participate; prohibit male students from participating in athletic teams, activities, and sports designated as girls'; prohibit designated agencies from entertaining complaints or investigations of policies; a new section of KRS Chapter 158 to create a cause of action against a school that violates these provisions; require that the action be brought within two years; create a new section of KRS Chapter 164 to require a postsecondary education institution to designate all intercollegiate and intramural athletic teams, activities, sports, and events that are sponsored or authorized by the institution based on biological sex of students eligible to participate; require that a postsecondary education institution prohibit male students from participating in athletic teams, activities, and sports designated as women's; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a postsecondary institution that violates these provisions; require that the action be brought within two years; provide short title of Save Women’s Sports Act."", 'Amend KRS 156.070 to designate the NAIA and NJCAA as organizations the Kentucky Board of Educaion must consider in establishing athletic programs, require the Board of Education or agency designated by the Board of Education to manage interscholastic athletics to promulgate administrative regulations or bylaws requiring schools that participate in interscholastic athletics to designate all athletic teams, activities, and sports based upon the biological sex of the students eligible to participate; prohibit male students from participating in athletic teams, activities, and sports designated as girls\'; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a school that violates these provisions; require that the action be brought within 2 years; create a new section of KRS Chapter 164 to require a postsecondary education institution to designate all intercollegiate and intramural athletic teams, activities, sports, and events that are sponsored or authorized by the institution based on biological sex of students eligible to participate; require that a postsecondary education institution prohibit male students from participating in athletic teams, activities, and sports designated as womens\'; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a postsecondary institution that violates these provisions; require that the action be brought within 2 years; title the Act: ""Save Women’s Sports Act.""']"
3,15,3_providing_act relating_specified_relating,Student Eligibility in School Athletics,"['providing', 'act relating', 'specified', 'relating', 'act', 'student eligibility', 'school', 'higher', 'eligibility', 'causes action']","['school sports', 'sports designated', 'designate athletic', 'athletic events', 'athletic teams', 'athletics based', 'athletics', 'designating athletic', 'student eligibility', 'act relating']",['Student Eligibility in School Athletics'],"['providing', 'act relating', 'specified', 'relating', 'act', 'student eligibility', 'school', 'higher', 'eligibility', 'causes action']","['act', 'school', 'higher', 'eligibility', 'causes', 'effective', 'athletic teams', 'female', 'coed', 'male']","['AN ACT relating to school sports; prohibiting biological males from athletic teams and sports designated for females in public schools; establishing related causes of action as specified; requiring rulemaking; and providing for effective dates.', 'AN ACT relating to school sports; prohibiting students of the male sex from competing on a team designated for students of the female sex as specified; alternatively providing for the state board of education to determine student eligibility as specified; providing definitions; requiring rulemaking; and providing for an effective date.', 'AN ACT relating to education; prohibiting students of the male sex from competing on a team designated for students of the female sex as specified; prohibiting retaliation; providing for an administrative hearing as specified; alternatively providing for a commission to determine student eligibility as specified; providing definitions; providing immunity as specified; providing an appropriation; requiring rulemaking; and providing for an effective date.']"
4,13,4_team_team sport_sport_boys,Athletic Team Sex Designation,"['team', 'team sport', 'sport', 'boys', 'athletic team', 'men boys', 'men', 'girls', 'women girls', 'males men']","['designate athletic', 'intramural athletics', 'interscholastic athletics', 'intercollegiate intramural', 'athletic team', 'athletics athletic', 'interscholastic athletic', 'education athletics', 'athletic events', 'athletics']",['Athletic Team Sex Designation'],"['team', 'team sport', 'sport', 'boys', 'athletic team', 'men boys', 'men', 'girls', 'women girls', 'males men']","['team', 'sport', 'boys', 'athletic team', 'men', 'girls', 'athletic', 'interscholastic', 'males', 'females']","['Requires each elementary or secondary school or a private school that competes in sponsored athletic events against such public schools to designate athletic teams, whether a school athletic team or an intramural team sponsored by such school, based on biological sex as follows: (i) ""males,"" ""men,"" or ""boys""; (ii) ""females,"" ""women,"" or ""girls""; or (iii) ""coed"" or ""mixed.""', 'Requires each interscholastic, intercollegiate, intramural, or club athletic team or sport that is sponsored by a public elementary or secondary school or a public institution of higher education to be expressly designated as one of the following based on each team member\'s biological sex at birth: (i) for ""males,"" ""men,"" or ""boys""; (ii) for ""females,"" ""women,"" or ""girls""; or (iii) as ""coed"" or ""mixed,"" including both (a) males, men, or boys and (b) females, women, or girls.', 'Requires each interscholastic, intercollegiate, intramural, or club athletic team or sport sponsored by a public elementary or secondary school or by a public institution of higher education to be expressly designated as one of the following based on biological sex: (i) males, men, or boys; (ii) females, women, or girls; or (iii) coed or mixed if participation on such team or sport is open to both (a) males, men, or boys and (b) females, women, or girls.']"
5,13,5_designated females_expressly designated_females women_expressly,Gender-segregated sports participation restrictions,"['designated females', 'expressly designated', 'females women', 'expressly', 'women girls', 'prohibits', 'designated', 'girls', 'females', 'team']","['prohibits males', 'prohibits interscholastic', 'prohibits', 'school athletic', 'designated females', 'intercollegiate intramural', 'designated males', 'intercollegiate', 'athletic team', 'biological sex']",['Gender-segregated sports participation restrictions'],"['designated females', 'expressly designated', 'females women', 'expressly', 'women girls', 'prohibits', 'designated', 'girls', 'females', 'team']","['girls', 'females', 'team', 'public', 'biological sex', 'sport', 'biological', 'women', 'open', 'school']","['The bill prohibits any student whose biological sex is female from participating on any interscholastic, intercollegiate, intramural, or club team or sport that is expressly designated for ""males,"" ""men,"" or ""boys,"" unless such school or institution does not offer an equivalent team or sport that is expressly designated for ""females,"" ""women,"" or ""girls,"" or as ""coed"" or ""mixed.""', 'The bill prohibits any interscholastic, intercollegiate, intramural, or club athletic team or sport that is sponsored by a public elementary or secondary school or a public institution of higher education and that is expressly designated for ""females,"" ""women,"" or ""girls"" from being open to any student whose biological sex at birth is male.', 'The bill prohibits any interscholastic, intercollegiate, intramural, or club athletic team or sport that is sponsored by a public elementary or secondary school or a public institution of higher education and that is expressly designated for ""males,"" ""men,"" or ""boys"" from being open to any student whose biological sex at birth is female unless such school or institution does not sponsor such a team or sport that is expressly designated for ""females,"" ""women,"" or ""girls"" or as ""coed"" or ""mixed.""']"
6,13,6_schools institutions_participation_institutions higher_institutions,Athletic Team Gender Participation,"['schools institutions', 'participation', 'institutions higher', 'institutions', 'teams', 'athletic teams', 'teams sports', 'student participation', '12', 'higher education']","['school athletic', 'athletic teams', 'school sports', 'intercollegiate intramural', 'participation athletic', 'sports student', 'interscholastic activities', 'intercollegiate', 'interscholastic intercollegiate', 'athletic activities']",['Athletic Team Gender Participation'],"['schools institutions', 'participation', 'institutions higher', 'institutions', 'teams', 'athletic teams', 'teams sports', 'student participation', '12', 'higher education']","['participation', 'institutions', 'teams', 'athletic teams', 'higher education', 'higher', 'club', 'education', 'schools', 'civil cause']","['K-12 schools and institutions of higher education; K-12 schools and institutions of higher education; interscholastic, intercollegiate, intramural, and club athletic teams and sports; participation on teams based on biological sex; certain requirements; civil cause of action.', 'K-12 schools and institutions of higher education; designation of interscholastic, intercollegiate, intramural, and club athletic teams and sports based on biological sex; student participation in female teams or sports; civil cause of action.', 'K-12 schools and institutions of higher education; K-12 schools and institutions of higher education; designation of interscholastic, intercollegiate, intramural, and club athletic teams and sports based on biological sex; student participation in female teams or sports; civil cause of action.']"
7,11,7_save women_save_women sports_sports act,Save Women's Sports Act,"['save women', 'save', 'women sports', 'sports act', 'women', 'establishes', 'female athletics', 'act', 'colleges', 'athletics']","['women sports', 'female athletics', 'sports act', 'student athletics', 'student athletic', 'athletics creating', 'athletic teams', 'athletics', 'act requiring', 'sports']","[""Save Women's Sports Act""]","['save women', 'save', 'women sports', 'sports act', 'women', 'establishes', 'female athletics', 'act', 'colleges', 'athletics']","['women', 'act', 'colleges', 'athletics', 'sports', 'high', 'schools', 'middle', 'female', 'athletic teams']","['Establishes the ""Save Women\'s Sports Act"" to protect female-only athletics in middle schools, high schools, and colleges', 'Establishes the ""Save Women\'s Sports Act"" relating to female-only athletics in middles schools, high schools, and colleges', 'Establishes the ""Save Women\'s Sports Act"" relating to female-only athletics in middle schools, high schools, and colleges']"
8,11,8_3313_01_02_04,Education Reform and Amendments,"['3313', '01', '02', '04', '03', '05', '07', '06', '08', '13']","['amend', 'revised code', 'repeal', 'revised', 'repeals', 'reform', 'amends', 'enact new', 'act require', 'enact']",['Education Reform and Amendments'],"['3313', '01', '02', '04', '03', '05', '07', '06', '08', '13']","['sections', 'education', 'professional development', 'non', 'position', 'development', 'single', 'nonpublic school', 'repeal', 'rules']","['- Amends TCA Title 49, Chapter 6.', '- Amends TCA Title 49.', ""To amend sections 5.224, 5.281, 9.231, 9.55, 102.02, 109.57, 109.572, 109.64, 109.65, 109.71, 109.72, 109.746, 113.73, 117.46, 121.02, 121.03, 121.35, 121.37, 121.40, 121.95, 124.15, 124.382, 124.384, 125.05, 125.13, 133.06, 133.061, 135.142, 149.331, 175.30, 197.04, 319.301, 901.71, 921.06, 2151.011, 2151.353, 2151.357, 2151.362, 2305.111, 2901.01, 2903.13, 2907.03, 2917.31, 2917.46, 2923.122, 2925.01, 2950.11, 2953.32, 3301.01, 3301.07, 3301.071, 3301.072, 3301.075, 3301.076, 3301.078, 3301.079, 3301.0710, 3301.0711, 3301.0712, 3301.0713, 3301.0714, 3301.0715, 3301.0716, 3301.0717, 3301.0718, 3301.0719, 3301.0720, 3301.0721, 3301.0723, 3301.0725, 3301.0726, 3301.0728, 3301.0730, 3301.10, 3301.11, 3301.12, 3301.121, 3301.131, 3301.133, 3301.134, 3301.135, 3301.136, 3301.14, 3301.15, 3301.16, 3301.162, 3301.163, 3301.18, 3301.19, 3301.22, 3301.221, 3301.23, 3301.27, 3301.28, 3301.30, 3301.311, 3301.40, 3301.45, 3301.49, 3301.52, 3301.521, 3301.53, 3301.54, 3301.541, 3301.55, 3301.56, 3301.57, 3301.58, 3301.59, 3301.61, 3301.62, 3301.63, 3301.64, 3301.68, 3301.70, 3301.80, 3301.81, 3301.923, 3301.94, 3301.941, 3301.948, 3302.01, 3302.02, 3302.021, 3302.03, 3302.031, 3302.032, 3302.033, 3302.034, 3302.035, 3302.036, 3302.037, 3302.038, 3302.039, 3302.04, 3302.041, 3302.042, 3302.043, 3302.05, 3302.06, 3302.062, 3302.063, 3302.066, 3302.068, 3302.07, 3302.09, 3302.10, 3302.103, 3302.11, 3302.12, 3302.13, 3302.14, 3302.15, 3302.151, 3302.17, 3302.20, 3302.21, 3302.22, 3302.25, 3302.26, 3302.41, 3302.42, 3303.02, 3303.04, 3303.05, 3303.06, 3303.20, 3304.12, 3307.01, 3307.05, 3307.31, 3309.011, 3309.48, 3309.491, 3309.51, 3310.01, 3310.02, 3310.03, 3310.031, 3310.032, 3310.033, 3310.036, 3310.07, 3310.11, 3310.13, 3310.14, 3310.15, 3310.16, 3310.17, 3310.41, 3310.411, 3310.42, 3310.51, 3310.52, 3310.521, 3310.522, 3310.53, 3310.58, 3310.59, 3310.62, 3310.63, 3310.64, 3310.70, 3311.056, 3311.08, 3311.16, 3311.17, 3311.19, 3311.191, 3311.213, 3311.214, 3311.217, 3311.218, 3311.521, 3311.53, 3311.60, 3311.71, 3311.74, 3311.741, 3311.76, 3311.86, 3311.87, 3312.01, 3312.02, 3312.04, 3312.07, 3312.08, 3312.09, 3312.13, 3313.03, 3313.25, 3313.30, 3313.413, 3313.472, 3313.48, 3313.483, 3313.484, 3313.487, 3313.488, 3313.489, 3313.4810, 3313.531, 3313.532, 3313.533, 3313.534, 3313.5310, 3313.5312, 3313.5314, 3313.56, 3313.57, 3313.60, 3313.603, 3313.605, 3313.608, 3313.6011, 3313.6013, 3313.6015, 3313.6016, 3313.6019, 3313.6020, 3313.6024, 3313.6027, 3313.61, 3313.611, 3313.612, 3313.614, 3313.615, 3313.618, 3313.619, 3313.6110, 3313.6111, 3313.6112, 3313.6113, 3313.6114, 3313.64, 3313.642, 3313.643, 3313.644, 3313.645, 3313.646, 3313.647, 3313.6410, 3313.65, 3313.66, 3313.662, 3313.671, 3313.674, 3313.71, 3313.7110, 3313.7111, 3313.7112, 3313.7113, 3313.7114, 3313.7115, 3313.7116, 3313.81, 3313.811, 3313.813, 3313.814, 3313.815, 3313.817, 3313.818, 3313.821, 3313.843, 3313.844, 3313.845, 3313.846, 3313.90, 3313.902, 3313.903, 3313.904, 3313.905, 3313.906, 3313.91, 3313.911, 3313.92, 3313.941, 3313.97, 3313.974, 3313.975, 3313.976, 3313.978, 3313.979, 3313.98, 3313.981, 3313.982, 3314.011, 3314.012, 3314.013, 3314.015, 3314.016, 3314.017, 3314.02, 3314.021, 3314.023, 3314.025, 3314.027, 3314.029, 3314.0211, 3314.03, 3314.03, 3314.032, 3314.034, 3314.035, 3314.038, 3314.039, 3314.041, 3314.05, 3314.06, 3314.072, 3314.074, 3314.08, 3314.081, 3314.083, 3314.087, 3314.091, 3314.10, 3314.101, 3314.11, 3314.12, 3314.143, 3314.144, 3314.147, 3314.17, 3314.18, 3314.19, 3314.191, 3314.20, 3314.21, 3314.22, 3314.232, 3314.24, 3314.26, 3314.27, 3314.271, 3314.28, 3314.29, 3314.35, 3314.351, 3314.353, 3314.354, 3314.36, 3314.38, 3314.50, 3314.51, 3315.18, 3315.181, 3315.33, 3315.34, 3315.35, 3316.03, 3316.031, 3316.04, 3316.041, 3316.042, 3316.05, 3316.06, 3316.08, 3316.20, 3317.01, 3317.011, 3317.012, 3317.014, 3317.015, 3317.017, 3317.019, 3317.02, 3317.021, 3317.022, 3317.023, 3317.024, 3317.025, 3317.026, 3317.028, 3317.0211, 3317.0212, 3317.0213, 3317.0214, 3317.0215, 3317.0217, 3317.0218, 3317.03, 3317.031, 3317.032, 3317.033, 3317.036, 3317.037, 3317.05, 3317.051, 3317.06, 3317.061, 3317.062, 3317.063, 3317.064, 3317.07, 3317.071, 3317.072, 3317.08, 3317.081, 3317.082, 3317.09, 3317.10, 3317.11, 3317.12, 3317.13, 3317.14, 3317.141, 3317.15, 3317.16, 3317.161, 3317.162, 3317.164, 3317.18, 3317.19, 3317.201, 3317.23, 3317.231, 3317.24, 3317.25, 3317.40, 3317.50, 3317.51, 3318.011, 3318.033, 3318.051, 3318.08, 3318.084, 3318.18, 3318.363, 3318.42, 3319.02, 3319.073, 3319.074, 3319.077, 3319.111, 3319.112, 3319.113, 3319.143, 3319.151, 3319.16, 3319.161, 3319.22, 3319.221, 3319.223, 3319.224, 3319.228, 3319.229, 3319.231, 3319.234, 3319.235, 3319.236, 3319.25, 3319.26, 3319.262, 3319.263, 3319.28, 3319.291, 3319.292, 3319.316, 3319.319, 3319.33, 3319.35, 3319.361, 3319.39, 3319.391, 3319.393, 3319.40, 3319.44, 3319.46, 3319.55, 3319.56, 3319.57, 3319.60, 3319.61, 3319.611, 3319.612, 3319.613, 3321.01, 3321.03, 3321.04, 3321.07, 3321.09, 3321.12, 3321.13, 3321.18, 3321.19, 3321.191, 3323.01, 3323.011, 3323.02, 3323.021, 3323.022, 3323.03, 3323.04, 3323.041, 3323.05, 3323.051, 3323.052, 3323.06, 3323.07, 3323.08, 3323.09, 3323.091, 3323.13, 3323.14, 3323.141, 3323.142, 3323.15, 3323.17, 3323.19, 3323.20, 3323.25, 3323.251, 3323.32, 3323.33, 3324.01, 3324.02, 3324.03, 3324.04, 3324.05, 3324.06, 3324.07, 3324.08, 3324.09, 3324.10, 3324.11, 3325.01, 3325.011, 3325.02, 3325.03, 3325.04, 3325.05, 3325.06, 3325.07, 3325.071, 3325.08, 3325.09, 3325.11, 3325.12, 3325.13, 3325.14, 3325.16, 3325.17, 3326.02, 3326.03, 3326.032, 3326.04, 3326.08, 3326.081, 3326.11, 3326.15, 3326.17, 3326.211, 3326.23, 3326.28, 3326.30, 3326.32, 3326.34, 3326.35, 3326.36, 3326.37, 3326.45, 3326.51, 3326.60, 3327.01, 3327.011, 3327.012, 3327.018, 3327.02, 3327.021, 3327.05, 3327.08, 3327.10, 3327.101, 3327.13, 3327.14, 3327.16, 3328.01, 3328.02, 3328.04, 3328.11, 3328.12, 3328.13, 3328.15, 3328.18, 3328.23, 3328.26, 3328.29, 3328.30, 3328.31, 3328.34, 3328.35, 3328.37, 3328.38, 3328.45, 3328.50, 3329.01, 3329.03, 3329.10, 3331.01, 3331.02, 3331.04, 3331.08, 3332.02, 3332.03, 3332.04, 3333.04, 3333.041, 3333.048, 3333.0411, 3333.0415, 3333.07, 3333.162, 3333.167, 3333.21, 3333.31, 3333.34, 3333.35, 3333.37, 3333.39, 3333.391, 3333.43, 3333.66, 3333.70, 3333.82, 3333.86, 3333.87, 3333.91, 3335.36, 3335.61, 3343.05, 3345.06, 3345.061, 3345.062, 3345.86, 3353.02, 3365.01, 3365.02, 3365.03, 3365.032, 3365.033, 3365.034, 3365.035, 3365.04, 3365.05, 3365.06, 3365.07, 3365.071, 3365.08, 3365.09, 3365.091, 3365.10, 3365.12, 3365.15, 3375.01, 3701.507, 3701.78, 3705.36, 3707.58, 3707.59, 3734.62, 3737.22, 3742.32, 3745.21, 3781.106, 3781.11, 3798.01, 4109.01, 4109.06, 4109.07, 4109.22, 4112.04, 4112.12, 4117.10, 4117.102, 4141.01, 4141.47, 4506.09, 4506.10, 4507.21, 4508.01, 4511.21, 4511.75, 4511.76, 4709.07, 4709.10, 4713.02, 4732.10, 4732.22, 4735.09, 4742.02, 4742.03, 4742.05, 4742.06, 4742.07, 4743.03, 4747.10, 4757.41, 4758.61, 4779.13, 5101.061, 5101.34, 5103.02, 5103.08, 5103.13, 5103.55, 5104.01, 5104.015, 5104.02, 5104.053, 5104.08, 5104.29, 5104.30, 5107.281, 5107.287, 5107.40, 5107.62, 5120.031, 5120.07, 5120.091, 5123.022, 5123.023, 5123.025, 5123.026, 5123.0423, 5126.04, 5126.05, 5126.23, 5126.24, 5139.34, 5145.06, 5162.363, 5162.365, 5502.262, 5502.263, 5513.04, 5703.21, 5705.216, 5705.391, 5705.412, 5709.07, 5709.92, 5715.26, 5715.34, 5747.057, 5747.72, 5753.11, 6109.21, 6301.04, 6301.11, 6301.111, 6301.112, 6301.15, 6301.21, 6301.22, and 6301.23; to enact new section 3301.13 and sections 3301.0731, 3301.111, 3301.132, 3313.5318, 3319.225, 3321.042, and 3792.05; and to repeal sections 3301.13, 3302.101, and 3302.102 of the Revised Code and to amend the versions of sections 3319.22 and 3319.223 of the Revised Code that are scheduled to take effect on April 12, 2023; to rename the Department of Education as the Department of Education and Workforce; to create the position of Director of Education and Workforce; and to reform the functions and responsibilities of the State Board of Education and the Superintendent of Public Instruction, to continue the changes on and after that date; to reduce the duration of the Alternative Resident Educator License from four to two years; to permit such a licensee to teach preschool; to revise the Ohio Teacher Residency Program as it exists beginning on April 12, 2023; to require one day of professional development leave each school year for classroom teachers to observe veteran teachers; to enact the Save Women's Sports Act to require schools to designate separate single-sex teams and sports for each sex; to make changes to the home education and non-chartered nonpublic school law; to prohibit schools from discriminating based on COVID-19 vaccination status; and to permit the General Assembly to invalidate or rescind rules adopted by the Director of Education and Workforce.""]"
